Shift JIS,ＪＩＳ,記号,PC-Talker,XP Reader,VDM,JAWS 6.2,日本語通用名称,記号の読み,文字種別,大文字／小文字,フォネティック読み,,読みの重複,
8172,2153,〉,ヤマカッコトジ,トジヤマカッコ,ヤマカッコトジ,トジヤマカッコ,終わり山括弧,トジヤマカッコ,記号,,,,,
8173,2154,《,ニジュウヤマカッコ,ニジュウヤマカッコ,ニジュウヤマカッコ,ニジュウヤマカッコ,始め二重山括弧,ニジュウヤマカッコ,記号,,,,,
8174,2155,》,ニジュウヤマカッコトジ,トジニジュウヤマカッコ,ニジュウヤマカッコトジ,トジニジュウヤマカッコ,終わり二重山括弧,トジニジュウヤマカッコ,記号,,,,,
8175,2156,「,カギ,カギ,カギ,カギヒラキ,始めかぎ括弧,カギ,記号,,,,,
8176,2157,」,カギトジ,トジカギ,カギトジ,カギトジ,終わりかぎ括弧,トジカギ,記号,,,,,
8177,2158,『,ニジュウカギ,ニジュウカギ,ニジュウカギ,ニジュウカギ,始め二重かぎ括弧,ニジュウカギ,記号,,,,,
8178,2159,』,ニジュウカギトジ,トジニジュウカギ,ニジュウカギトジ,ニジュウカギトジ,終わり二重かぎ括弧,トジニジュウカギ,記号,,,,,
8179,215A,【,クロカッコ,クロカッコ,クロカッコ,スミツキ,始めすみ付き括弧,クロカッコ,記号,,,,,
817A,215B,】,クロカッコトジ,トジクロカッコ,クロカッコトジ,スミツキトジ,終わりすみ付き括弧,トジクロカッコ,記号,,,,,
817B,215C,＋,プラス,プラス,プラス,プラス,正符号、加算記号,プラス,数学記号,,,,,
817C,215D,－,マイナス,マイナス,マイナス,マイナス,負記号、減算記号,マイナス,数学記号,,,,,
817D,215E,±,プラスマイナス,プラスマイナス,プラスマイナス,プラスマイナス,正又は負記号,プラスマイナス,数学記号,,,,,
817E,215F,×,カケル,カケル,カケル,カケル,乗算記号,カケル,数学記号,,,,,
8180,2160,÷,ワル,ワル,ワル,ワル,除算記号,ワル,数学記号,,,,,
8181,2161,＝,イコール,イコール,イコール,イコール,等号,イコール,数学記号,,,,,
8182,2162,≠,ノットイコール,ノットイコール,ノットイコール,ノットイコール,等号否定,ノットイコール,数学記号,,,,,
8183,2163,＜,ショウナリ,ショウナリ,ショウナリ,ショウナリ,不等号（より小）,ショウナリ,数学記号,,,,,
8184,2164,＞,ダイナリ,ダイナリ,ダイナリ,ダイナリ,不等号（より大）,ダイナリ,数学記号,,,,,
8185,2165,≦,ショウナリイコール,ショウナリイコール,ショウナリイコール,ショウナリイコール,より小さいか又は等しい,ショウナリイコール,数学記号,,,,,
8186,2166,≧,ダイナリイコール,ダイナリイコール,ダイナリイコール,ダイナリイコール,より大きいか又は等しい,ダイナリイコール,数学記号,,,,,
8187,2167,∞,ムゲンダイ,ムゲンダイ,ムゲンダイ,ムゲンダイ,無限大,ムゲンダイ,数学記号,,,,,
8188,2168,∴,ユエニ,ユエニ,ユエニ,ユエニ,ゆえに,ユエニ,数学記号,,,,,
8189,2169,♂,オス,オス,オス,ダンセイ,雄記号,オス,学術記号,,セイベツノオスキゴウ,,,
818A,216A,♀,メス,メス,メス,ジョセイ,雌記号,メス,学術記号,,セイベツノメスキゴウ,,,
818B,216B,°,ド,ド,ド,ド,度,ド,単位記号,,カクドノド,,,
818C,216C,′,フン,フン,フン,フン,分,フン,単位記号,,カクドノフン,,,
818D,216D,″,ビョウ,ビョウ,ビョウ,ビョウ,秒,ビョウ,単位記号,,カクドノビョウ,,,
818E,216E,℃,ドシー,ドシー,ドシー,ドシー,セ氏度記号,ドシー,単位記号,,セッシドシーキゴウ,,,
818F,216F,￥,エンマーク,エン,エンマーク,エンマーク,円記号,エンマーク,単位記号,,,,,
8190,2170,＄,ドル,ドル,ドル,ドル,ドル記号,ドル,単位記号,,,,,
8191,2171,￠,セント,セント,セント,セント,セント記号,セント,単位記号,,,,,
8192,2172,￡,ポンド,ポンド,ポンド,ポンド,ポンド記号,ポンド,単位記号,,,,,
8193,2173,％,パーセント,パーセント,パーセント,パーセント,パーセント,パーセント,単位記号,,,,,
