Shift JIS,ＪＩＳ,記号,PC-Talker,XP Reader,VDM,JAWS 6.2,日本語通用名称,記号の読み,文字種別,大文字／小文字,フォネティック読み,,読みの重複,
82A6,2428,え,エイゴノエ,エド,エイゴノエ,エイゴノエ,,エ,平仮名,,エイゴノエ,,＊＊,ゑ、ヱと同じ読み
82A7,2429,ぉ,チイサイオ,チイサイオオサカ,チイサイオ,チイサイオ,,チイサイオ,平仮名,,チイサイオオサカノオ,,,
82A8,242A,お,オオサカノオ,オオサカ,オオサカノオ,オオサカノオ,,オ,平仮名,,オオサカノオ,,＊＊,を、ヲと同じ読み
82A9,242B,か,カワセノカ,カメラ,カワセノカ,カワセノカ,,カ,平仮名,,カゾクノカ,,,
82AA,242C,が,ガッコウノガ,ガッコウ,ガッコウノガ,ガッコウノガ,,ガ,平仮名,,ガッコウノガ,,,
82AB,242D,き,キッテノキ,キツネ,キッテノキ,キッテノキ,,キ,平仮名,,キッテノキ,,,
82AC,242E,ぎ,ギリシャノギ,ギンコウ,ギリシャノギ,ギターノギ,,ギ,平仮名,,ギンコウノギ,,,
82AD,242F,く,クラブノク,クイ,クラブノク,クラブノク,,ク,平仮名,,クスリノク,,,
82AE,2430,ぐ,グランドノグ,グンマ,グランドノグ,グンジョウノグ,,グ,平仮名,,グランドノグ,,,
82AF,2431,け,ケシキノケ,ケーキ,ケシキノケ,ケシキノケ,,ケ,平仮名,,ケシキノケ,,,
82B0,2432,げ,ゲームノゲ,ゲンキン,ゲームノゲ,ゲンキノゲ,,ゲ,平仮名,,ゲームノゲ,,,
82B1,2433,こ,コドモノコ,コグマ,コドモノコ,コドモノコ,,コ,平仮名,,コドモノコ,,,
82B2,2434,ご,ゴリラノゴ,ゴハン,ゴリラノゴ,ゴマノゴ,,ゴ,平仮名,,ゴリラノゴ,,＊＊,５と同じ読み
82B3,2435,さ,サクラノサ,サカナ,サクラノサ,サクラノサ,,サ,平仮名,,サクラノサ,,,
82B4,2436,ざ,ザブトンノザ,ザーサイ,ザブトンノザ,ザッシノザ,,ザ,平仮名,,ザブトンノザ,,,
82B5,2437,し,シンブンノシ,シケン,シンブンノシ,シンブンノシ,,シ,平仮名,,シンブンノシ,,,
82B6,2438,じ,シジミノジ,ジシン,シジミノジ,ジカンノジ,,ジ,平仮名,,ジカンノジ,,,
82B7,2439,す,スズメノス,スパイ,スズメノス,スズメノス,,ス,平仮名,,スズメノス,,,
82B8,243A,ず,ズボンノズ,ズボン,ズボンノズ,ズコウノズ,,ズ,平仮名,,ズボンノズ,,,
82B9,243B,せ,セカイノセ,センタクキ,セカイノセ,セカイノセ,,セ,平仮名,,セカイノセ,,,
82BA,243C,ぜ,ゼイカンノゼ,ゼイキン,ゼイカンノゼ,ゼンアクノゼ,,ゼ,平仮名,,ゼンブノゼ,,,
82BB,243D,そ,ソロバンノソ,ソバ,ソロバンノソ,ソロバンノソ,,ソ,平仮名,,ソロバンノソ,,,
82BC,243E,ぞ,ゾウキンノゾ,ゾウ,ゾウキンノゾ,ゾクゴノゾ,,ゾ,平仮名,,ゾウキンノゾ,,,
82BD,243F,た,タバコノタ,タマゴ,タバコノタ,タバコノタ,,タ,平仮名,,タバコノタ,,,
82BE,2440,だ,ダルマノダ,ダンゴ,ダルマノダ,ダルマノダ,,ダ,平仮名,,ダルマノダ,,,
82BF,2441,ち,チドリノチ,チジン,チドリノチ,チドリノチ,,チ,平仮名,,チキュウノチ,,,
82C0,2442,ぢ,ハナヂノヂ,ロウ？,ハナヂノヂ,チドリノチニダクテン,,ヂ,平仮名,,ハナヂノヂ,,,
82C1,2443,っ,チイサイツ,チイサイツバメ,チイサイツ,チイサイツ,,チイサイツ,平仮名,,ツバメノツ,,,
82C2,2444,つ,ツバメノツ,ツバメ,ツバメノツ,ツルカメノツ,,ツ,平仮名,,チイサイツバメノツ,,,
82C3,2445,づ,ツヅミノヅ,ツニダクテン,ツヅミノヅ,ツルカメノツニダクテン,,ヅ,平仮名,,ツヅミノヅ,,,
82C4,2446,て,テガミノテ,テガミ,テガミノテ,テガミノテ,,テ,平仮名,,テガミノテ,,,
82C5,2447,で,デンワノデ,デンワ,デンワノデ,デンワノデ,,デ,平仮名,,デンワノデ,,,
82C6,2448,と,トウキョウノト,トダナ,トウキョウノト,トウキョウノト,,ト,平仮名,,トウキョウノト,,,
82C7,2449,ど,ドレミノド,ドア,ドレミノド,ドレミノド,,ド,平仮名,,ドレミノド,,＊＊,角度の「°」と同じ読み
82C8,244A,な,ナゴヤノナ,ナットウ,ナゴヤノナ,ナゴヤノナ,,ナ,平仮名,,ナマエノナ,,,
82C9,244B,に,ニホンノニ,ニンジン,ニホンノニ,ニホンノニ,,ニ,平仮名,,ニホンノニ,,＊＊,２と同じ読み
82CA,244C,ぬ,ヌリエノヌ,ヌイモノ,ヌリエノヌ,ヌマズノヌ,,ヌ,平仮名,,ヌリエノヌ,,,
82CB,244D,ね,ネズミノネ,ネズミ,ネズミノネ,ネズミノネ,,ネ,平仮名,,ネズミノネ,,,
82CC,244E,の,ノハラノノ,ノハラ,ノハラノノ,ノハラノノ,,ノ,平仮名,,ノハラノノ,,,
82CD,244F,は,ハガキノハ,ハッパ,ハガキノハ,ハガキノハ,,ハ,平仮名,,ハガキノハ,,,
82CE,2450,ば,バナナノバ,バイキン,バナナノバ,バレーノバ,,バ,平仮名,,バナナノバ,,,
82CF,2451,ぱ,パンダノパ,パンダ,パンダノパ,パソコンノパ,,パ,平仮名,,パジャマノパ,,,
82D0,2452,ひ,ヒカリノヒ,ヒトデ,ヒカリノヒ,ヒコウキノヒ,,ヒ,平仮名,,ヒカリノヒ,,,
82D1,2453,び,ビールノビ,ビール,ビールノビ,ビーズノビ,,ビ,平仮名,,ビールノビ,,,
82D2,2454,ぴ,ピアノノピ,ピーマン,ピアノノピ,ピアノノピ,,ピ,平仮名,,ピアノノピ,,,
82D3,2455,ふ,フトンノフ,フネ,フトンノフ,フジサンノフ,,フ,平仮名,,フトンノフ,,,
82D4,2456,ぶ,ブランコノブ,ブタ,ブランコノブ,ブラジルノブ,,ブ,平仮名,,ブランコノブ,,,
82D5,2457,ぷ,プリントノプ,プール,プリントノプ,プールノプ,,プ,平仮名,,プリントノプ,,,
82D6,2458,へ,ヘイワノヘ,ヘチマ,ヘイワノヘ,ヘイワノヘ,,ヘ,平仮名,,ヘイワノヘ,,,
82D7,2459,べ,ベルトノベ,ベトナム,ベルトノベ,ベンチノベ,,ベ,平仮名,,ベルトノベ,,,
82D8,245A,ぺ,ペットノペ,ペンキ,ペットノペ,ペットノペ,,ペ,平仮名,,ペットノペ,,,
82D9,245B,ほ,ホケンノホ,ホタル,ホケンノホ,ホケンノホ,,ホ,平仮名,,ホケンノホ,,,
82DA,245C,ぼ,ボタンノボ,ボール,ボタンノボ,ボタンノボ,,ボ,平仮名,,ボタンノボ,,,
82DB,245D,ぽ,ポストノポ,ポット,ポストノポ,ポストノポ,,ポ,平仮名,,ポストノポ,,,
82DC,245E,ま,マッチノマ,マナイタ,マッチノマ,マッチノマ,,マ,平仮名,,マッチノマ,,,
82DD,245F,み,ミカンノミ,ミカン,ミカンノミ,ミカンノミ,,ミ,平仮名,,ミカンノミ,,,
82DE,2460,む,ムセンノム,ムシバ,ムセンノム,ムセンノム,,ム,平仮名,,ムシノム,,,
82DF,2461,め,メイジノメ,メガネ,メイジノメ,メイジノメ,,メ,平仮名,,メガネノメ,,,
82E0,2462,も,モミジノモ,モモンガ,モミジノモ,モミジノモ,,モ,平仮名,,モミジノモ,,,
82E1,2463,ゃ,チイサイヤ,チイサイヤ,チイサイヤ,チイサイヤ,,チイサイヤ,平仮名,,チイサイヤカンノヤ,,,
82E2,2464,や,ヤマトノヤ,ヤキイモ,ヤマトノヤ,ヤマトノヤ,,ヤ,平仮名,,ヤカンノヤ,,,
82E3,2465,ゅ,チイサイユ,チイサイユリ,チイサイユ,チイサイユ,,チイサイユ,平仮名,,チイサイユカタノユ,,,
82E4,2466,ゆ,ユミヤノユ,ユリ,ユミヤノユ,ユミヤノユ,,ユ,平仮名,,ユカタノユ,,,
82E5,2467,ょ,チイサイヨ,チイサイヨット,チイサイヨ,チイサイヨ,,チイサイヨ,平仮名,,チイサイヨットノヨ,,,
82E6,2468,よ,ヨシノノヨ,ヨット,ヨシノノヨ,ヨシノノヨ,,ヨ,平仮名,,ヨットノヨ,,,
82E7,2469,ら,ラジオノラ,ラジオ,ラジオノラ,ラジオノラ,,ラ,平仮名,,ラジオノラ,,,
82E8,246A,り,リンゴノリ,リス,リンゴノリ,リンゴノリ,,リ,平仮名,,リンゴノリ,,,
82E9,246B,る,ルスバンノル,ルビー,ルスバンノル,ルスイノル,,ル,平仮名,,ルスバンノル,,,
82EA,246C,れ,レモンノレ,レキシ,レモンノレ,レンゲノレ,,レ,平仮名,,レモンノレ,,,
82EB,246D,ろ,ローマノロ,ロンドン,ローマノロ,ローマノロ,,ロ,平仮名,,ロウカノロ,,,
82EC,246E,ゎ,チイサイワ,チイサイワイン,チイサイワ,チイサイワ,,チイサイワ,平仮名,,チイサイワカメノワ,,,
82ED,246F,わ,ワラビノワ,ワイン,ワラビノワ,ワラビノワ,,ワ,平仮名,,ワカメノワ,,,
82EE,2470,ゐ,ムカシノイ,ワギョウノイ,ムカシノイ,イドノイ,,イ,平仮名,,ムカシノイ,,＊＊,い、と同じ読み
82EF,2471,ゑ,ムカシノエ,ワギョウノエ,ムカシノエ,カギノアルエ,,エ,平仮名,,ムカシノエ,,＊＊,え、と同じ読み
82F0,2472,を,ヲワリノヲ,ワギョウノヲ,ヲワリノヲ,ヲワリノヲ,,オ,平仮名,,ヲワリノヲ,,＊＊,お、と同じ読み
82F1,2473,ん,オシマイノン,オワリノン,オシマイノン,オシマイノン,,ン,平仮名,,オシマイノン,,,
8340,2521,ァ,チイサイア,チイサイアサヒ,チイサイア,,,チイサイア,片仮名,,チイサイアサヒノア,,,
8341,2522,ア,アサヒノア,アサヒ,アサヒノア,,,ア,片仮名,,アサヒノア,,,
8342,2523,ィ,チイサイイ,チイサイイロハ,チイサイイ,,,チイサイイ,片仮名,,チイサイイチゴノイ,,,
8343,2524,イ,イロハノイ,イロハ,イロハノイ,,,イ,片仮名,,イチゴノイ,,＊＊,ゐ、ヰと同じ読み
8344,2525,ゥ,チイサイウ,チイサイウサギ,チイサイウ,,,チイサイウ,片仮名,,チイサイウサギノウ,,,
8345,2526,ウ,ウエノノウ,ウサギ,ウエノノウ,,,ウ,片仮名,,ウサギノウ,,,
8346,2527,ェ,チイサイエ,チイサイエド,チイサイエ,,,チイサイエ,片仮名,,チイサイエイゴノエ,,,
8347,2528,エ,エイゴノエ,エド,エイゴノエ,,,エ,片仮名,,エイゴノエ,,＊＊,ゑ、ヱと同じ読み
8348,2529,ォ,チイサイオ,チイサイオオサカ,チイサイオ,,,チイサイオ,片仮名,,チイサイオオサカノオ,,,
8349,252A,オ,オオサカノオ,オオサカ,オオサカノオ,,,オ,片仮名,,オオサカノオ,,＊＊,を、ヲと同じ読み
834A,252B,カ,カワセノカ,カメラ,カワセノカ,,,カ,片仮名,,カゾクノカ,,,
834B,252C,ガ,ガッコウノガ,ガッコウ,ガッコウノガ,ガッコウノガ,,ガ,片仮名,,ガッコウノガ,,,
834C,252D,キ,キッテノキ,カメラ,キッテノキ,,,キ,片仮名,,キッテノキ,,,
834D,252E,ギ,ギリシャノギ,ギンコウ,ギリシャノギ,ギターノギ,,ギ,片仮名,,ギンコウノギ,,,
834E,252F,ク,クラブノク,クリ,クラブノク,,,ク,片仮名,,クスリノク,,,
834F,2530,グ,グランドノグ,グンマ,グランドノグ,グンジョウノグ,,グ,片仮名,,グランドノグ,,,
8350,2531,ケ,ケシキノケ,ケーキ,ケシキノケ,,,ケ,片仮名,,ケシキノケ,,,
8351,2532,ゲ,ゲームノゲ,ゲンキン,ゲームノゲ,ゲンキノゲ,,ゲ,片仮名,,ゲームノゲ,,,
8352,2533,コ,コドモノコ,コグマ,コドモノコ,,,コ,片仮名,,コドモノコ,,,
8353,2534,ゴ,ゴリラノゴ,ゴハン,ゴリラノゴ,ゴマノゴ,,ゴ,片仮名,,ゴリラノゴ,,＊＊,５と同じ読み
8354,2535,サ,サクラノサ,サカナ,サクラノサ,,,サ,片仮名,,サクラノサ,,,
8355,2536,ザ,ザブトンノザ,ザーサイ,ザブトンノザ,ザッシノザ,,ザ,片仮名,,ザブトンノザ,,,
8356,2537,シ,シンブンノシ,シケン,シンブンノシ,,,シ,片仮名,,シンブンノシ,,,
8357,2538,ジ,シジミノジ,ジシン,シジミノジ,ジカンノジ,,ジ,片仮名,,ジカンノジ,,,
8358,2539,ス,スズメノス,スパイ,スズメノス,,,ス,片仮名,,スズメノス,,,
8359,253A,ズ,ズボンノズ,ズボン,ズボンノズ,ズコウノズ,,ズ,片仮名,,ズボンノズ,,,
835A,253B,セ,セカイノセ,センタクキ,セカイノセ,,,セ,片仮名,,セカイノセ,,,
835B,253C,ゼ,ゼイカンノゼ,ゼイキン,ゼイカンノゼ,ゼンアクノゼ,,ゼ,片仮名,,ゼンブノゼ,,,
835C,253D,ソ,ソロバンノソ,ソバ,ソロバンノソ,,,ソ,片仮名,,ソロバンノソ,,,
835D,253E,ゾ,ゾウキンノゾ,ゾウ,ゾーキンノゾ,ゾクゴノゾ,,ゾ,片仮名,,ゾウキンノゾ,,,
835E,253F,タ,タバコノタ,タバコ,タバコノタ,,,タ,片仮名,,タバコノタ,,,
835F,2540,ダ,ダルマノダ,ダンゴ,ダルマノダ,ダルマノダ,,ダ,片仮名,,ダルマノダ,,,
8360,2541,チ,チドリノチ,チチブ,チドリノチ,,,チ,片仮名,,チキュウノチ,,,
8361,2542,ヂ,ハナヂノヂ,ロウ？,ハナヂノヂ,チドリノチニダクテン,,ヂ,片仮名,,ハナヂノヂ,,,
8362,2543,ッ,チイサイツ,チイサイツバメ,チイサイツ,,,チイサイツ,片仮名,,チイサイツバメノツ,,,
8363,2544,ツ,ツバメノツ,ツバメ,ツバメノツ,,,ツ,片仮名,,ツバメノツ,,,
8364,2545,ヅ,ツヅミノヅ,ツニダクテン,ツヅミノヅ,ツルカメノツニダクテン,,ヅ,片仮名,,ツヅミノヅ,,,
8365,2546,テ,テガミノテ,テガミ,テガミノテ,,,テ,片仮名,,テガミノテ,,,
8366,2547,デ,デンワノデ,デンワ,デンワノデ,デンワノデ,,デ,片仮名,,デンワノデ,,,
8367,2548,ト,トウキョウノト,トダナ,トウキョウノト,,,ト,片仮名,,トウキョウノト,,,
8368,2549,ド,ドレミノド,ドア,ドレミノド,ドレミノド,,ド,片仮名,,ドレミノド,,＊＊,角度の「°」と同じ読み
8369,254A,ナ,ナゴヤノナ,ナットウ,ナゴヤノナ,,,ナ,片仮名,,ナマエノナ,,,
836A,254B,ニ,ニホンノニ,ニンジン,ニホンノニ,,,ニ,片仮名,,ニホンノニ,,＊＊,２と同じ読み
836B,254C,ヌ,ヌリエノヌ,ヌイモノ,ヌリエノヌ,,,ヌ,片仮名,,ヌリエノヌ,,,
836C,254D,ネ,ネズミノネ,ネズミ,ネズミノネ,,,ネ,片仮名,,ネズミノネ,,,
836D,254E,ノ,ノハラノノ,ノハラ,ノハラノノ,,,ノ,片仮名,,ノハラノノ,,,
836E,254F,ハ,ハガキノハ,ハッパ,ハガキノハ,,,ハ,片仮名,,ハガキノハ,,,
836F,2550,バ,バナナノバ,バイキン,バナナノバ,バレーノバ,,バ,片仮名,,バナナノバ,,,
8370,2551,パ,パンダノパ,パンダ,パンダノパ,パソコンノパ,,パ,片仮名,,パジャマノパ,,,
8371,2552,ヒ,ヒカリノヒ,ヒトデ,ヒカリノヒ,,,ヒ,片仮名,,ヒカリノヒ,,,
8372,2553,ビ,ビールノビ,ビール,ビールノビ,ビーズノビ,,ビ,片仮名,,ビールノビ,,,
8373,2554,ピ,ピアノノピ,ピーマン,ピアノノピ,ピアノノピ,,ピ,片仮名,,ピアノノピ,,,
8374,2555,フ,フトンノフ,フネ,フトンノフ,,,フ,片仮名,,フトンノフ,,,
8375,2556,ブ,ブランコノブ,ブタ,ブランコノブ,ブラジルノブ,,ブ,片仮名,,ブランコノブ,,,
8376,2557,プ,プリントノプ,プール,プリントノプ,プールノプ,,プ,片仮名,,プリントノプ,,,
8377,2558,ヘ,ヘイワノヘ,ヘチマ,ヘイワノヘ,,,ヘ,片仮名,,ヘイワノヘ,,,
8378,2559,ベ,ベルトノベ,ベトナム,ベルトノベ,ベンチノベ,,ベ,片仮名,,ベルトノベ,,,
8379,255A,ペ,ペットノペ,ペンキ,ペットノペ,ペットノペ,,ペ,片仮名,,ペットノペ,,,
837A,255B,ホ,ホケンノホ,ホタル,ホケンノホ,,,ホ,片仮名,,ホケンノホ,,,
837B,255C,ボ,ボタンノボ,ボール,ボタンノボ,ボタンノボ,,ボ,片仮名,,ボタンノボ,,,
837C,255D,ポ,ポストノポ,ポット,ポストノポ,ポストノポ,,ポ,片仮名,,ポストノポ,,,
837D,255E,マ,マッチノマ,マナイタ,マッチノマ,,,マ,片仮名,,マッチノマ,,,
837E,255F,ミ,ミカンノミ,ミカン,ミカンノミ,,,ミ,片仮名,,ミカンノミ,,,
8380,2560,ム,ムセンノム,ムシバ,ムセンノム,,,ム,片仮名,,ムシノム,,,
8381,2561,メ,メイジノメ,メガネ,メイジノメ,,,メ,片仮名,,メガネノメ,,,
8382,2562,モ,モミジノモ,モモンガ,モミジノモ,,,モ,片仮名,,モミジノモ,,,
8383,2563,ャ,チイサイヤ,チイサイヤキイモ,チイサイヤ,,,チイサイヤ,片仮名,,チイサイヤカンノヤ,,,
8384,2564,ヤ,ヤマトノヤ,ヤキイモ,ヤマトノヤ,,,ヤ,片仮名,,ヤカンノヤ,,,
8385,2565,ュ,チサイユ,チイサイユミ,チサイユ,,,チイサイユ,片仮名,,チイサイユカタノユ,,,
8386,2566,ユ,ユミヤノユ,ユミ,ユミヤノユ,,,ユ,片仮名,,ユカタノユ,,,
8387,2567,ョ,チイサイヨ,チイサイヨット,チイサイヨ,,,チイサイヨ,片仮名,,チイサイヨットノヨ,,,
8388,2568,ヨ,ヨシノノヨ,ヨット,ヨシノノヨ,,,ヨ,片仮名,,ヨットノヨ,,,
8389,2569,ラ,ラジオノラ,ラジオ,ラジオノラ,,,ラ,片仮名,,ラジオノラ,,,
838A,256A,リ,リンゴノリ,リス,リンゴノリ,,,リ,片仮名,,リンゴノリ,,,
838B,256B,ル,ルスバンノル,ルビー,ルスバンノル,,,ル,片仮名,,ルスバンノル,,,
838C,256C,レ,レモンノレ,レキシ,レモンノレ,,,レ,片仮名,,レモンノレ,,,
838D,256D,ロ,ローマノロ,ロンドン,ローマノロ,,,ロ,片仮名,,ロウカノロ,,,
838E,256E,ヮ,チイサイワ,チイサイワイン,チイサイワ,チイサイワ,,チイサイワ,片仮名,,チイサイワカメノワ,,,
838F,256F,ワ,ワラビノワ,ワイン,ワラビノワ,,,ワ,片仮名,,ワカメノワ,,,
8390,2570,ヰ,ムカシノイ,ワギョウノイ,ムカシノイ,,,イ,片仮名,,ムカシノイ,,＊＊,イ、と同じ読み
8391,2571,ヱ,ムカシノエ,ワギョウノエ,ムカシノエ,,,エ,片仮名,,ムカシノエ,,＊＊,エ、と同じ読み
8392,2572,ヲ,オワリノオ,ワギョウノオ,オワリノオ,,,オ,片仮名,,オワリノオ,,＊＊,オ、と同じ読み
8393,2573,ン,オシマイノン,オワリノン,オシマイノン,,,ン,片仮名,,オシマイノン,,,
8394,2574,ヴ,ウエノノウニダクテン,ヴァイオリン,ウエノノウニダクテン,,,ヴ,片仮名,,ウサギノウニダクテン,,,
8395,2575,ヵ,チイサイカ,チイサイカメラ,チイサイカ,,,チイサイカ,片仮名,,チイサイカゾクノカ,,,
8396,2576,ヶ,チイサイケ,チイサイケーキ,チイサイケ,,,チイサイケ,片仮名,,チイサイケシキノケ,,,
839F,2621,Α,アルファ,アルファ,アルファ,アルファ,,アルファ,ギリシャ文字,大文字,,,,
83A0,2622,Β,ベーター,ベータ,ベーター,ベータ,,ベータ,ギリシャ文字,大文字,,,,
83A1,2623,Γ,ガンマ,ガンマ,ガンマ,ガンマ,,ガンマ,ギリシャ文字,大文字,,,,
83A2,2624,Δ,デルタ,デルタ,デルタ,デルタ,,デルタ,ギリシャ文字,大文字,,,,
83A3,2625,Ε,イプシロン,イプシロン,エフシールン,イプシロン,,イプシロン,ギリシャ文字,大文字,,,,
83A4,2626,Ζ,ゼーター,ゼータ,ゼータ,ゼータ,,ゼータ,ギリシャ文字,大文字,,,,
83A5,2627,Η,イーター,イータ,エータ,イータ,,イータ,ギリシャ文字,大文字,,,,
83A6,2628,Θ,シーター,シータ,セータ,シータ,,シータ,ギリシャ文字,大文字,,,,
83A7,2629,Ι,イオータ,イオータ,イォータ,イォータ,,イオタ,ギリシャ文字,大文字,,,,
83A8,262A,Κ,カッパー,カッパ,カッパ,カッパ,,カッパ,ギリシャ文字,大文字,,,,
83A9,262B,Λ,ラムダ,ラムダ,ラムダ,ラムダ,,ラムダ,ギリシャ文字,大文字,,,,
83AA,262C,Μ,ミュー,ミュー,ミュー,ミュー,,ミュー,ギリシャ文字,大文字,,,,
83AB,262D,Ν,ニュー,ニュー,ニュー,ニュー,,ニュー,ギリシャ文字,大文字,,,,
83AC,262E,Ξ,グサイ,グサイ,クシー,クシー,,グザイ,ギリシャ文字,大文字,,,,
83AD,262F,Ο,オミクロン,オミクロン,オミークロン,オミクロン,,オミクロン,ギリシャ文字,大文字,,,,
83AE,2630,Π,パイ,パイ,パイ,パイ,,パイ,ギリシャ文字,大文字,,,,
83AF,2631,Ρ,ロー,ロー,ロー,ロー,,ロー,ギリシャ文字,大文字,,,,
83B0,2632,Σ,シグマ,シグマ,シグマ,シグマ,,シグマ,ギリシャ文字,大文字,,,,
83B1,2633,Τ,タウ,タウ,タウ,タウ,,タウ,ギリシャ文字,大文字,,,,
83B2,2634,Υ,ウプシロン,ウプシロン,ウプシロン,ウプシロン,,ウプシロン,ギリシャ文字,大文字,,,,
83B3,2635,Φ,ファイ,ファイ,ファイ,フェー,,ファイ,ギリシャ文字,大文字,,,,
83B4,2636,Χ,カイ,カイ,カイ,キー,,カイ,ギリシャ文字,大文字,,,,
83B5,2637,Ψ,プサイ,プサイ,プサイ,プシー,,プサイ,ギリシャ文字,大文字,,,,
83B6,2638,Ω,オメガ,オメガ,オメガ,オメガ,,オメガ,ギリシャ文字,大文字,,,,
83BF,2641,α,アルファ,アルファ,アルファ,アルファ,,アルファ,ギリシャ文字,小文字,,,,
83C0,2642,β,ベーター,ベータ,ベーター,ベータ,,ベータ,ギリシャ文字,小文字,,,,
83C1,2643,γ,ガンマ,ガンマ,ガンマ,ガンマ,,ガンマ,ギリシャ文字,小文字,,,,
83C2,2644,δ,デルタ,デルタ,デルタ,デルタ,,デルタ,ギリシャ文字,小文字,,,,
83C3,2645,ε,イプシロン,イプシロン,エフシールン,イプシロン,,イプシロン,ギリシャ文字,小文字,,,,
83C4,2646,ζ,ゼーター,ゼータ,ゼータ,ゼータ,,ゼータ,ギリシャ文字,小文字,,,,
83C5,2647,η,イーター,イータ,エータ,イータ,,イータ,ギリシャ文字,小文字,,,,
83C6,2648,θ,シーター,シータ,セータ,シータ,,シータ,ギリシャ文字,小文字,,,,
83C7,2649,ι,イオータ,イオータ,イォータ,イォータ,,イオタ,ギリシャ文字,小文字,,,,
83C8,264A,κ,カッパー,カッパ,カッパ,カッパ,,カッパ,ギリシャ文字,小文字,,,,
83C9,264B,λ,ラムダ,ラムダ,ラムダ,ラムダ,,ラムダ,ギリシャ文字,小文字,,,,
83CA,264C,μ,ミュー,ミュー,ミュー,ミュー,,ミュー,ギリシャ文字,小文字,,,,
83CB,264D,ν,ニュー,ニュー,ニュー,ニュー,,ニュー,ギリシャ文字,小文字,,,,
83CC,264E,ξ,グサイ,グサイ,クシー,クシー,,グザイ,ギリシャ文字,小文字,,,,
83CD,264F,ο,オミクロン,オミクロン,オミークロン,オミクロン,,オミクロン,ギリシャ文字,小文字,,,,
83CE,2650,π,パイ,パイ,パイ,パイ,,パイ,ギリシャ文字,小文字,,,,
83CF,2651,ρ,ロー,ロー,ロー,ロー,,ロー,ギリシャ文字,小文字,,,,
83D0,2652,σ,シグマ,シグマ,シグマ,シグマ,,シグマ,ギリシャ文字,小文字,,,,
83D1,2653,τ,タウ,タウ,タウ,タウ,,タウ,ギリシャ文字,小文字,,,,
83D2,2654,υ,ウプシロン,ウプシロン,ウプシロン,ウプシロン,,ウプシロン,ギリシャ文字,小文字,,,,
83D3,2655,φ,ファイ,ファイ,ファイ,フェー,,ファイ,ギリシャ文字,小文字,,,,
83D4,2656,χ,カイ,カイ,カイ,キー,,カイ,ギリシャ文字,小文字,,,,
83D5,2657,ψ,プサイ,プサイ,プサイ,プシー,,プサイ,ギリシャ文字,小文字,,,,
83D6,2658,ω,オメガ,オメガ,オメガ,オメガ,,オメガ,ギリシャ文字,小文字,,,,
8440,2721,А,アー,アー,ロシアノアー,アー,,アー,キリル文字,大文字,,,,
8441,2722,Б,ベー,ベー,ロシアノベー,ベー,,ベー,キリル文字,大文字,,,,
8442,2723,В,リエー,ウェー,ロシアノブェー,ブェー,,ヴェー,キリル文字,大文字,,,,
8443,2724,Г,ゲー,ゲー,ロシアノゲー,ゲー,,ゲー,キリル文字,大文字,,,,
8444,2725,Д,デー,デー,ロシアノデー,デー,,デー,キリル文字,大文字,,,,
8445,2726,Е,イエー,イエー,ロシアノイェー,イェー,,ィエー,キリル文字,大文字,,,,
8446,2727,Ё,ヨー,イヨー,ロシアノイョー,イョー,,ィヨー,キリル文字,大文字,,,,
8447,2728,Ж,ジェー,チェー,ロシアノジェー,ジェー,,ジェー,キリル文字,大文字,,,,
8448,2729,З,ゼー,ズー,ロシアノゼー,ゼー,,ゼー,キリル文字,大文字,,,,
8449,272A,И,イー,イー,ロシアノイー,イー,,イー,キリル文字,大文字,,,＊＊,英文字と同じ読み
844A,272B,Й,イークラトコエ,イークラトコエ,ロシアノイクラートカヤ,イクラートカヤ,,イークラトコエ,キリル文字,大文字,,,,
844B,272C,К,カー,カー,ロシアノカー,カー,,カー,キリル文字,大文字,,,,
844C,272D,Л,エル,エル,ロシアノエル,エル,,エル,キリル文字,大文字,,,＊＊,英文字、他のロシア文字と同じ読み
844D,272E,М,エム,エム,ロシアノエム,エム,,エム,キリル文字,大文字,,,＊＊,英文字と同じ読み
844E,272F,Н,エヌ,エヌ,ロシアノエヌ,エヌ,,エヌ,キリル文字,大文字,,,＊＊,英文字と同じ読み
844F,2730,О,オー,オー,ロシアノオー,オー,,オー,キリル文字,大文字,,,＊＊,英文字と同じ読み
8450,2731,П,ペー,ペー,ロシアゴノペー,ペー,,ペー,キリル文字,大文字,,,,
8451,2732,Р,エルアール,エル,ロシアゴノエル,エル,,エル,キリル文字,大文字,,,＊＊,英文字、他のロシア文字と同じ読み
8452,2733,С,エス,エス,ロシアゴノエス,エス,,エス,キリル文字,大文字,,,＊＊,英文字と同じ読み
8453,2734,Т,テー,テー,ロシアゴノテー,テー,,テー,キリル文字,大文字,,,,
8454,2735,У,ウー,ウー,ロシアゴノムー,ウー,,ウー,キリル文字,大文字,,,,
8455,2736,Ф,エフ,エフ,ロシアゴノエフ,エフ,,エフ,キリル文字,大文字,,,＊＊,英文字と同じ読み
8456,2737,Х,ハー,ハー,ロシアゴノパー,ハー,,ハー,キリル文字,大文字,,,,
8457,2738,Ц,ツェー,ツェー,ロシアノズェー,ツェー,,ツェー,キリル文字,大文字,,,,
8458,2739,Ч,チェー,チェー,ロシアノチェー,チェー,,チェー,キリル文字,大文字,,,,
8459,273A,Ш,シァー,シャー,ロシアノシャー,シャ,,シャー,キリル文字,大文字,,,,
