漢字,田町読み（新しい詳細読み）　ひらがな・漢字
夏,なつやすみのなつ，か
嫁,はなよめのよめ
家,いえ，かぞくのか
寡,かもくなのか，すくない
科,きょうかしょのか
暇,きゅうかのか，ひま
果,けっかのか，はたす
架,じゅうじかのか，かける
歌,うた，かしゅのか
河,さんずいのかわ
火,かようびのか，ひ
珂,おうへんにかのうせいのか
禍,わざわい，か
禾,のぎへんののぎ，か
稼,かせぐ，か
箇,かじょうがきのか
花,はな，かびんのか
苛,いらだつ，かこくのか
茄,くさかんむりにくわえるのか，なす
荷,にもつのに
華,ごうかのか，はなやか
菓,おかしのか
蝦,むしへんのえび，か
課,ほうかごのか
嘩,くちげんかのか
貨,かもつのか
迦,おしゃかさまのか
過,かこのか，すぎる
霞,はるがすみのかすみ
蚊,かとりせんこうのか
俄,にわか，がぜんのが
峨,やまへんにわれのが
我,がまんのが，われ
牙,ぞうげのげ，きば
画,がようしのが
臥,ふす，がしんしょうたんのが
芽,はつがのが，きのめのめ
蛾,が，むしのが
賀,ねんがじょうのが
雅,ゆうがのが，みやび
餓,がしするのが，うえる
駕,が，りょうがするのが
介,かいごのかい，すけ
会,かいしゃのかい，あう
解,かいけつするのかい
回,まわる，かいてんのかい
塊,だんかいのかい，かたまり
壊,はかいのかい，こわす
廻,えんにょうにまわるのかい
快,かいてきのかい，こころよい
怪,かいぶつのかい，あやしい
悔,こうかいするのかい，くやむ
恢,てんもうかいかいのかい
懐,かいちゅうでんとうのかい，ふところ
戒,けいかいするのかい，いましめる
拐,ゆうかいじけんのかい
改,かいりょうのかい，あらためる
魁,きょかいのかき，さきがけ
晦,みそか，にちへんにまい
械,きかいてきのかい
海,うみ，かいがいのかい
灰,はいいろのはい
界,せかいのかい
皆,みなさまのみな，かい
絵,えほんのえ
芥,あくたがわしょうのあくた
蟹,かに
開,かいはつのかい，ひらく
階,かいだんをのぼるのかい
貝,かいがらのかい
凱,がいせんもんのがい
劾,だんがいするのがい
外,がいこくのがい，そと
咳,せきばらいのせき
害,さいがいのがい
崖,がけ，だんがいのがい
慨,かんがいむりょうのがい
概,がいねんのがい，おおむね
涯,いっしょうがいのがい
碍,ゆうずうむげのげ，がい
蓋,ずがいこつのがい，ふた
街,がいろじゅのがい
該,がいとうするのがい
鎧,よろい，がいしゅういっしょくのがい
骸,がいこつのがい，むくろ
浬,たんいのかいり，さんずいにさと
馨,じんめいのかおる，けい，かぐわしい
蛙,どうぶつのかえる
垣,かきねのかき
柿,くだもののかき
蛎,うみのかき，れい
鈎,かぎ，かねへんにつつみがまえにむ
劃,わかつ，かくぜんのかく
嚇,いかくするのかく
各,かくじのかく，おのおの
廓,ゆうかくのかく，くるわ
拡,かくだいのかく
撹,かくらんするのかく
格,ごうかくのかく
核,かくかぞくのかく
殻,かいがらのがら，かく
獲,かくとくのかく，える
確,かくにんのかく，たしか
穫,しゅうかくするのかく，とりいれる
覚,かんかくのかく，おぼえる
角,かくどのかく，つの
赫,あかをふたつならべたかく
較,ひかくてきのかく
郭,りんかくのかく，くるわ
閣,てんしゅかくのかく
隔,かんかくのかく，へだたり
革,かくめいのかく
学,まなぶ，がくしゅうのがく
岳,さんがくのがく，たけ
楽,おんがくのがく，たのしい
額,きんがくのがく，ひたい
顎,あご，がく
掛,かけぶとんのかけ
笠,はながさのかさ
樫,かしのきのかし
橿,かしはらじんぐうのかし
梶,かじのきのかじ，きへんにお
鰍,かじか，うおへんにあき
潟,にいがたけんのかた
割,わりあいのわり
喝,きょうかつするのかつ
恰,かっぷくがよいのかつ，あたかも
括,そうかつのかつ，くくる
活,せいかつのかつ
渇,かつぼうするのかつ，かわく
滑,えんかつのかつ，なめらか
葛,かっとうのかつ，くず
褐,かっしょくのかつ
轄,かんかつするのかつ
且,なおかつのかつ
鰹,かつお，うおへんにかたい
叶,かなう，くちへんにじゅう
椛,かば，きへんにはな
樺,しらかばのかば
鞄,かばん
株,かぶしきのかぶ
兜,てつかぶとのかぶと
竃,かまど
蒲,かばやきのかば
釜,かまめしのかま
鎌,かまくらのかま
噛,かむ，くちへんには
鴨,とりのかも
栢,かや，きへんにひゃく
茅,かやぶきのかや
萱,くさかんむりにせんでんのせん
粥,おかゆのかゆ
刈,くさかりのかり，かる
苅,かる，くさかんむりのかる
瓦,れんがのが，かわら
乾,かわく，かんそうきのかん
侃,かんかんがくがくのかん
冠,かんむり，えいかんのかん
寒,あついさむいのさむい，かん
刊,しゅうかんしのかん
勘,おかんじょうのかん
勧,かんゆうするのかん，すすめる
巻,のりまきのまき
喚,しょうにんかんもんのかん
堪,かんにんぶくろのかん，たえる
姦,かしましい，おんなみっつのかん
完,かんりょうするのかん
官,けいさつかんのかん
寛,かんだいなのかん，ひろい
干,かんちょうのかん，ほす
幹,しんかんせんのかん，みき
患,かんじゃのかん，わずらう
感,かんそうぶんのかん
慣,しゅうかんのかん，なれる
憾,いかんなくのかん
換,かんきせんのかん，かえる
敢,ゆうかんなのかん，あえて
柑,かんきつるいのかん
桓,かんむてんのうのかん
棺,かんおけのかん，ひつぎ
款,えんしゃっかんのかん
歓,かんげいのかん，よろこぶ
汗,あせ，はっかんのかん
漢,かんじてすとのかん
澗,かん，さんずいにあいだ
潅,かんぼくのかん
環,しぜんかんきょうのかん
甘,あまい，かんみりょうのかん
監,かんとくするのかん
看,かんびょうのかん
竿,さおだけのさお，かん
管,かんりするのかん
簡,かんたんなのかん
緩,ゆるやか，かんわするのかん
缶,かんづめのかん
翰,しょかんをおくるのかん，しんかんせんのかんのほすのかわりにうもうのう
肝,かんぞうのかん，きも
艦,せんすいかんのかん
莞,くさかんむりにかんりょうするのかん
観,かんきゃくのかん
諌,いさめる，かんげんするのかん
貫,いっかんするのかん，つらぬく
還,かんれきのかん，かえる
鑑,ずかんのかん
間,じかんのかん，あいだ
閑,かんこどりのかん，ひま
関,かんけいのかん，せき
陥,おちいる，かんらくのかん
韓,かんこくじんのかん
館,としょかんのかん
舘,やかたのいたいじ，かん
丸,ひのまるのまる，がん
含,ふくむ，がんちくのがん
岸,かいがんのがん，きし
巌,がんりゅうじまのがん，いわお
玩,がんぐのがん，もてあそぶ
癌,がんさいぼうのがん
眼,そうがんきょうのがん
岩,いわ，がんせき
翫,がん，れんしゅうのしゅうにげんきのげん
贋,がんさくのがん，にせ
雁,わたりどりのがん，かり
頑,がんばるのがん
顔,かおいろのかお，がん
願,がんぼうのがん，ねがう
企,きかくのき，くわだてる
伎,かぶきのき
危,きけんのき，あぶない
喜,きげきのき，よろこぶ
器,がっきのき，うつわ
基,きほんのき，もとづく
奇,きみょうなのき
嬉,うれしい，き
寄,きふするのき，よる
岐,ぶんきてんのき
希,きぼうのき，まれ
幾,きかがくのき
忌,いっしゅうきのき，いむ
揮,しきするのき
机,つくえ
旗,こっきのき，はた
既,きとくけんのき，すでに
期,きたいするのき
棋,き，しょうぎのぎ
棄,はきするのき，すてる
機,ひこうきのき
帰,きたくするのき，かえる
毅,きぜんとしたのき
気,くうきのき
汽,きてきのき
畿,きんきちほうのき
祈,いのる，きがんするのき
季,きせつふうのき
稀,まれ，のぎへんにきぼうのき
紀,きげんぜんのき
徽,きしょうをつけるのき，しるし
規,きそくてきのき
記,きろくのき，しるす
貴,きちょうひんのき
起,きりつするのき，おきる
軌,きどうにのるのき
輝,かがやく，き
飢,きがのき，うえる
騎,きへいたいのき
鬼,おに，きゅうけつきのき
亀,どうぶつのかめ，き
偽,ぎぞうのぎ，にせ
儀,ぎしきのぎ
妓,げいぎのぎ，おんなへんにささえる
宜,べんぎのぎ，よろしく
戯,ぎきょくのぎ
技,ぎじゅつのぎ，わざ
擬,もぎてんのぎ
欺,さぎのぎ，あざむく
犠,ぎせいしゃのぎ
疑,ぎもんのぎ，うたがう
祇,ぎおんまつりのぎ
義,ぎむのぎ
蟻,むしのあり，ぎ
誼,よしみをつうずるのよしみ，ぎ
議,かいぎしつのぎ
掬,すくいなげのすくう
菊,きくにんぎょうのきく
鞠,けまりのまり，きく
吉,きちときょうのきち，よし
吃,どもる，きつおんのきつ
喫,きつえんするのきつ
桔,きへんにきち，ききょうのいちもじめ
橘,たちばな，かんきつのきつ
詰,つめる，きつもんのきつ
砧,きぬた，いしへんにうらなう
杵,うすきねのきね
黍,こくもつのきび，しょ
却,へんきゃくするのきゃく
客,おきゃくのきゃく
脚,きゃくほんのきゃく，あし
虐,ぎゃくたいのぎゃく，しいたげる
逆,ぎゃくてんのぎゃく，さかさ
丘,さきゅうのきゅう，おか
久,えいきゅうのきゅう，ひさしい
仇,あだ，きゅうてきのきゅう
休,やすむ，きゅうじつのきゅう
及,ふきゅうするのきゅう，およぶ
吸,こきゅうするのきゅう，すう
