漢字,田町読み（新しい詳細読み）　カタカナ,田町読み（新しい詳細読み）　ひらがな
薗,ソノ，クサカンムリニガクエンノエン,その，くさかんむりにがくえんのえん
遠,エンソクノエン，トオイ,えんそくのえん，とおい
鉛,エンピツノエン，ナマリ,えんぴつのえん，なまり
鴛,エンオウノエン，オシドリ,えんおうのえん，おしどり
塩,ショクエンノエン，シオ,しょくえんのえん，しお
於,ナニナニニオイテノオ,なになににおいてのお
汚,オセンノオ，キタナイ,おせんのお，きたない
甥,オイメイノオイ,おいめいのおい
凹,オウトツノオウ，クボム,おうとつのおう，くぼむ
央,チュウオウノオウ,ちゅうおうのおう
奥,オクバノオク,おくばのおく
往,オウフクノオウ,おうふくのおう
応,オウエンノオウ,おうえんのおう
押,オウシュウスルノオウ，オス,おうしゅうするのおう，おす
旺,ショクヨクオウセイナノオウ,しょくよくおうせいなのおう
横,タテヨコノヨコ，オウ,たてよこのよこ，おう
欧,オウベイノオウ,おうべいのおう
殴,オウダスルノオウ，ナグル,おうだするのおう，なぐる
王,オウサマノオウ,おうさまのおう
翁,オキナ，オウ,おきな，おう
襖,ショウジフスマノフスマ,しょうじふすまのふすま
鴬,ウグイス,うぐいす
鴎,カモメ,かもめ
黄,キイロノキ，オウ,きいろのき，おう
岡,オカヤマケンノオカ,おかやまけんのおか
沖,オキ，オキナワケンノオキ,おき，おきなわけんのおき
荻,オギ,おぎ
億,オクマンチョウジャノオク,おくまんちょうじゃのおく
屋,オクジョウノオク，ヤ,おくじょうのおく，や
憶,キオクノオク，オボエル,きおくのおく，おぼえる
臆,オクビョウナノオク,おくびょうなのおく
桶,オケ，フロオケノオケ,おけ，ふろおけのおけ
牡,ハナノボタンノボ，オス,はなのぼたんのぼ，おす
乙,コウオツノオツ,こうおつのおつ
俺,オレサマノオレ,おれさまのおれ
卸,オロシウリノオロシ,おろしうりのおろし
恩,オンガエシノオン,おんがえしのおん
温,オンセンノオン，アタタマル,おんせんのおん，あたたまる
穏,ヘイオンノオン，オダヤカ,へいおんのおん，おだやか
音,オト，オンガクノオン,おと，おんがくのおん
下,ジョウゲノゲ，シタ,じょうげのげ，した
化,カセキノカ，バケル,かせきのか，ばける
仮,カメンノカ，カリ,かめんのか，かり
何,ナニモノノナニ,なにもののなに
伽,オトギバナシノトギ，カ,おとぎばなしのとぎ，か
価,カチノカ，アタイ,かちのか，あたい
佳,カサクノカ，ニンベンニツチフタツノカ,かさくのか，にんべんにつちふたつのか
加,ツイカノカ，クワエル,ついかのか，くわえる
可,カノウセイノカ,かのうせいのか
嘉,カ，ヨロコブノシタガクワエル,か，よろこぶのしたがくわえる
夏,ナツヤスミノナツ，カ,なつやすみのなつ，か
嫁,ハナヨメノヨメ,はなよめのよめ
家,イエ，カゾクノカ,いえ，かぞくのか
寡,カモクナノカ，スクナイ,かもくなのか，すくない
科,キョウカショノカ,きょうかしょのか
暇,キュウカノカ，ヒマ,きゅうかのか，ひま
果,ケッカノカ，ハタス,けっかのか，はたす
架,ジュウジカノカ，カケル,じゅうじかのか，かける
歌,ウタ，カシュノカ,うた，かしゅのか
河,サンズイノカワ,さんずいのかわ
火,カヨウビノカ，ヒ,かようびのか，ひ
珂,オウヘンニカノウセイノカ,おうへんにかのうせいのか
禍,ワザワイ，カ,わざわい，か
禾,ノギヘンノノギ，カ,のぎへんののぎ，か
稼,カセグ，カ,かせぐ，か
箇,カジョウガキノカ,かじょうがきのか
花,ハナ，カビンノカ,はな，かびんのか
苛,イラダツ，カコクノカ,いらだつ，かこくのか
茄,クサカンムリニクワエルノカ，ナス,くさかんむりにくわえるのか，なす
荷,ニモツノニ,にもつのに
華,ゴウカノカ，ハナヤカ,ごうかのか，はなやか
菓,オカシノカ,おかしのか
蝦,ムシヘンノエビ，カ,むしへんのえび，か
課,ホウカゴノカ,ほうかごのか
嘩,クチゲンカノカ,くちげんかのか
貨,カモツノカ,かもつのか
迦,オシャカサマノカ,おしゃかさまのか
過,カコノカ，スギル,かこのか，すぎる
霞,ハルガスミノカスミ,はるがすみのかすみ
蚊,カトリセンコウノカ,かとりせんこうのか
俄,ニワカ，ガゼンノガ,にわか，がぜんのが
峨,ヤマヘンニワレノガ,やまへんにわれのが
我,ガマンノガ，ワレ,がまんのが，われ
牙,ゾウゲノゲ，キバ,ぞうげのげ，きば
画,ガヨウシノガ,がようしのが
臥,フス，ガシンショウタンノガ,ふす，がしんしょうたんのが
芽,ハツガノガ，キノメノメ,はつがのが，きのめのめ
蛾,ガ，ムシノガ,が，むしのが
賀,ネンガジョウノガ,ねんがじょうのが
雅,ユウガノガ，ミヤビ,ゆうがのが，みやび
餓,ガシスルノガ，ウエル,がしするのが，うえる
駕,ガ，リョウガスルノガ,が，りょうがするのが
介,カイゴノカイ，スケ,かいごのかい，すけ
会,カイシャノカイ，アウ,かいしゃのかい，あう
解,カイケツスルノカイ,かいけつするのかい
回,マワル，カイテンノカイ,まわる，かいてんのかい
塊,ダンカイノカイ，カタマリ,だんかいのかい，かたまり
壊,ハカイノカイ，コワス,はかいのかい，こわす
廻,エンニョウニマワルノカイ,えんにょうにまわるのかい
快,カイテキノカイ，ココロヨイ,かいてきのかい，こころよい
怪,カイブツノカイ，アヤシイ,かいぶつのかい，あやしい
悔,コウカイスルノカイ，クヤム,こうかいするのかい，くやむ
恢,テンモウカイカイノカイ,てんもうかいかいのかい
懐,カイチュウデントウノカイ，フトコロ,かいちゅうでんとうのかい，ふところ
戒,ケイカイスルノカイ，イマシメル,けいかいするのかい，いましめる
拐,ユウカイジケンノカイ,ゆうかいじけんのかい
