漢字,田町読み（新しい詳細読み）　カタカナ,田町読み（新しい詳細読み）　ひらがな
征,エンセイグンノセイ,えんせいぐんのせい
性,コセイテキノセイ,こせいてきのせい
青,アオイ，セイシュンノセイ,あおい，せいしゅんのせい
斉,イッセイシャゲキノセイ,いっせいしゃげきのせい
政,セイジカノセイ,せいじかのせい
星,ホシ，セイザノセイ,ほし，せいざのせい
牲,ギセイシャノセイ,ぎせいしゃのせい
省,ショウリャクスルノショウ，ハブク,しょうりゃくするのしょう，はぶく
逝,セイキョスルノセイ，ユク,せいきょするのせい，ゆく
清,セイケツノセイ，キヨイ,せいけつのせい，きよい
盛,オオモリノモリ，セイ,おおもりのもり，せい
婿,ハナムコノムコ,はなむこのむこ
晴,ハレ，セイテンノセイ,はれ，せいてんのせい
勢,セイリョクノセイ，イキオイ,せいりょくのせい，いきおい
聖,セイカリレーノセイ,せいかりれーのせい
誠,セイジツナノセイ，マコト,せいじつなのせい，まこと
精,セイシンテキノセイ,せいしんてきのせい
製,セイゾウスルノセイ,せいぞうするのせい
誓,チカウ，セイヤクショノセイ,ちかう，せいやくしょのせい
静,レイセイノセイ，シズカ,れいせいのせい，しずか
請,セイキュウショノセイ，コウ,せいきゅうしょのせい，こう
整,セイリスルノセイ，トトノエル,せいりするのせい，ととのえる
税,ゼイキンノゼイ,ぜいきんのぜい
夕,ユウガタノユウ,ゆうがたのゆう
斥,ハイセキスルノセキ，シリゾケル,はいせきするのせき，しりぞける
石,ホウセキノセキ，イシ,ほうせきのせき，いし
赤,アカンボウノアカ，セキ,あかんぼうのあか，せき
昔,ムカシバナシノムカシ,むかしばなしのむかし
析,ブンセキスルノセキ,ぶんせきするのせき
隻,フネイッセキノセキ,ふねいっせきのせき
席,ザセキノセキ,ざせきのせき
惜,オシム，セキハイノセキ,おしむ，せきはいのせき
責,セキニンノセキ,せきにんのせき
跡,ツイセキスルノセキ，アト,ついせきするのせき，あと
積,メンセキノセキ，ツモル,めんせきのせき，つもる
績,セイセキヒョウノセキ,せいせきひょうのせき
籍,コクセキノセキ,こくせきのせき
切,タイセツノセツ，キル,たいせつのせつ，きる
折,コッセツノセツ，オル,こっせつのせつ，おる
拙,チセツノセツ，ツタナイ,ちせつのせつ，つたない
窃,セットウハンノセツ,せっとうはんのせつ
接,セツゾクスルノセツ,せつぞくするのせつ
設,セツビノセツ,せつびのせつ
雪,ユキダルマノユキ，セツ,ゆきだるまのゆき，せつ
摂,セッセイスルノセイ，トル,せっせいするのせい，とる
節,キセツノセツ，フシ,きせつのせつ，ふし
説,セツメイノセツ，トク,せつめいのせつ，とく
舌,シタヲカムノシタ,したをかむのした
絶,ゼッタイテキノゼツ,ぜったいてきのぜつ
千,カンスウジノセン,かんすうじのせん
川,カセンノセン，カワ,かせんのせん，かわ
仙,センニンノセン，ニンベンニヤマ,せんにんのせん，にんべんにやま
占,ドクセンスルノセン，シメル,どくせんするのせん，しめる
先,センセイノセン，サキ,せんせいのせん，さき
宣,センデンノセン,せんでんのせん
専,センモンノセン,せんもんのせん
泉,オンセンノセン，イズミ,おんせんのせん，いずみ
浅,アサイフカイノアサイ,あさいふかいのあさい
洗,センタクモノノセン，アラウ,せんたくもののせん，あらう
染,センショクノセン，ソメル,せんしょくのせん，そめる
扇,センプウキノセン，オウギ,せんぷうきのせん，おうぎ
栓,センヌキノセン,せんぬきのせん
旋,センカイスルノセン,せんかいするのせん
船,フネ，センチョウノセン,ふね，せんちょうのせん
戦,センソウノセン，タタカウ,せんそうのせん，たたかう
践,ジッセンスルノセン,じっせんするのせん
銭,ツリセンノセン,つりせんのせん
銑,センテツノセン，カネヘンニサキ,せんてつのせん，かねへんにさき
潜,センスイカンノセン，モグル,せんすいかんのせん，もぐる
線,センロノセン,せんろのせん
遷,サセンスルノセン,させんするのせん
選,センキョノセン，エラブ,せんきょのせん，えらぶ
薦,スイセンジョウノセン，ススメル,すいせんじょうのせん，すすめる
繊,カガクセンイノセン,かがくせんいのせん
鮮,シンセンナノセン，アザヤカ,しんせんなのせん，あざやか
全,ゼンコクノゼン，マッタク,ぜんこくのぜん，まったく
前,マエ，ゼンゴノゼン,まえ，ぜんごのぜん
善,ゼンアクノゼン，ヨイ,ぜんあくのぜん，よい
然,ダイシゼンノゼン,だいしぜんのぜん
禅,ザゼンノゼン,ざぜんのぜん
漸,ゼンゾウスルノゼン，ヨウヤク,ぜんぞうするのぜん，ようやく
繕,シュウゼンスルノゼン，ツクロウ,しゅうぜんするのぜん，つくろう
阻,ソシスルノソ，ハバム,そしするのそ，はばむ
祖,ソセンノソ,そせんのそ
租,ソゼイノソ,そぜいのそ
素,ソシツノソ,そしつのそ
措,ソチスルノソ,そちするのそ
粗,ソマツナノソ，アライ,そまつなのそ，あらい
組,クミ，ソシキノソ,くみ，そしきのそ
疎,カソチノソ,かそちのそ
訴,ウッタエル，ソショウノソ,うったえる，そしょうのそ
塑,カソセイノソ,かそせいのそ
礎,キソテキナノソ，イシズエ,きそてきなのそ，いしずえ
双,ソウガンキョウノソウ,そうがんきょうのそう
壮,ソウダイナノソウ,そうだいなのそう
早,ソウチョウノソウ，ハヤイ,そうちょうのそう，はやい
争,キョウソウノソウ，アラソウ,きょうそうのそう，あらそう
走,ハシル，キョウソウノソウ,はしる，きょうそうのそう
奏,エンソウスルノソウ，カナデル,えんそうするのそう，かなでる
相,ソウダンスルノソウ，アイ,そうだんするのそう，あい
荘,ベッソウチノソウ,べっそうちのそう
草,クサ，ソウゲンノソウ,くさ，そうげんのそう
送,ホウソウキョクノソウ，オクル,ほうそうきょくのそう，おくる
倉,ソウコノソウ，クラ,そうこのそう，くら
捜,ソウサジョウノソウ，サガス,そうさじょうのそう，さがす
挿,ソウニュウスルノソウ，サス,そうにゅうするのそう，さす
桑,クワノキノクワ，ソウ,くわのきのくわ，そう
掃,ソウジスルノソウ，ハク,そうじするのそう，はく
曹,ソウトウシュウノソウ,そうとうしゅうのそう
巣,ハチノスノス,はちのすのす
窓,マドグチノマド，ソウ,まどぐちのまど，そう
創,ソウリツスルノソウ,そうりつするのそう
喪,モチュウノモ,もちゅうのも
葬,ソウシキノソウ，ホウムル,そうしきのそう，ほうむる
装,フクソウノソウ,ふくそうのそう
僧,ソウリョノソウ,そうりょのそう
想,カンソウブンノソウ,かんそうぶんのそう
層,コウソウビルノソウ,こうそうびるのそう
総,ソウリダイジンノソウ,そうりだいじんのそう
遭,ソウナンスルノソウ,そうなんするのそう
槽,ヨクソウノソウ,よくそうのそう
操,ソウジュウスルノソウ，アヤツル,そうじゅうするのそう，あやつる
燥,カンソウキノソウ,かんそうきのそう
霜,シモバシラノシモ,しもばしらのしも
騒,サワグ，ソウオンノソウ,さわぐ，そうおんのそう
藻,ウミノモクズノモ，ソウ,うみのもくずのも，そう
造,カイゾウノゾウ，ツクル,かいぞうのぞう，つくる
像,ブツゾウノゾウ,ぶつぞうのぞう
増,ゾウカスルノゾウ，フエル,ぞうかするのぞう，ふえる
憎,ニクム，ゾウオノゾウ,にくむ，ぞうおのぞう
蔵,レイゾウコノゾウ,れいぞうこのぞう
贈,ゾウトウヒンノゾウ，オクル,ぞうとうひんのぞう，おくる
臓,シンゾウカンゾウノゾウ,しんぞうかんぞうのぞう
即,ソクザニノソク，スナワチ,そくざにのそく，すなわち
束,ヤクソクノソク,やくそくのそく
足,アシ，エンソクノソク,あし，えんそくのそく
促,サイソクスルノソク，ウナガス,さいそくするのそく，うながす
則,ホウソクノソク,ほうそくのそく
息,イキヲスルノイキ，ソク,いきをするのいき，そく
速,ソクドノソク，ハヤイ,そくどのそく，はやい
側,リョウガワノガワ，ソク,りょうがわのがわ，そく
測,ソクテイノソク，ハカル,そくていのそく，はかる
俗,フウゾクノゾク,ふうぞくのぞく
族,スイゾクカンノゾク,すいぞくかんのぞく
属,フゾクノゾク,ふぞくのぞく
賊,サンゾクノゾク,さんぞくのぞく
続,レンゾクノゾク，ツヅク,れんぞくのぞく，つづく
卒,ソツギョウノソツ,そつぎょうのそつ
率,ヒリツノリツ，ヒキイル,ひりつのりつ，ひきいる
存,ソンザイスルノソン,そんざいするのそん
村,ムラ，シチョウソンノソン,むら，しちょうそんのそん
孫,マゴノテノマゴ，ソン,まごのてのまご，そん
尊,ソンケイスルノソン，トウトブ,そんけいするのそん，とうとぶ
損,ソンガイノソン,そんがいのそん
他,タニンノタ,たにんのた
多,オオイスクナイノオオイ，タ,おおいすくないのおおい，た
打,タゲキノダ，ウツ,たげきのだ，うつ
妥,ダキョウスルノダ,だきょうするのだ
堕,ダラクスルノダ,だらくするのだ
惰,タイダノダ,たいだのだ
駄,ダガシノダ,だがしのだ
太,フトイホソイノフトイ，タイ,ふといほそいのふとい，たい
対,ハンタイノタイ,はんたいのたい
体,カラダ，タイイクノタイ,からだ，たいいくのたい
耐,ニンタイノタイ，タエル,にんたいのたい，たえる
待,キタイスルノタイ，マツ,きたいするのたい，まつ
怠,タイマンノタイ，ナマケル,たいまんのたい，なまける
胎,ジュタイスルノジュ,じゅたいするのじゅ
退,タイクツノタイ,たいくつのたい
帯,ケイタイノタイ，オビ,けいたいのたい，おび
泰,アンタイノタイ,あんたいのたい
袋,フクロ，ユウタイルイノタイ,ふくろ，ゆうたいるいのたい
逮,タイホジョウノタイ,たいほじょうのたい
替,フリカエコウザノカエル,ふりかえこうざのかえる
貸,ホンヲカスノカ,ほんをかすのか
隊,グンタイノタイ,ぐんたいのたい
滞,ジュウタイスルノタイ，トドコオル,じゅうたいするのたい，とどこおる
態,タイドノタイ,たいどのたい
大,ダイショウノダイ，オオキイ,だいしょうのだい，おおきい
代,ダイヒョウノダイ，カワル,だいひょうのだい，かわる
台,ダイドコロノダイ,だいどころのだい
第,ダイイチインショウノダイ,だいいちいんしょうのだい
題,シュクジュダイノダイ,しゅくじゅだいのだい
滝,タキツボノタキ,たきつぼのたき
宅,ジュウタクノタク,じゅうたくのたく
択,センタクシノタク,せんたくしのたく
沢,コウタクノタク，サワ,こうたくのたく，さわ
卓,タッキュウノタク,たっきゅうのたく
拓,カイタクスルノタク,かいたくするのたく
託,タクジショノタク,たくじしょのたく
濯,センタクモノノタク,せんたくもののたく
諾,ショウダクスルノダク,しょうだくするのだく
濁,ニゴル，ダクリュウノダク,にごる，だくりゅうのだく
但,タダシガキノタダシ,ただしがきのただし
達,ハイタツノタツ,はいたつのたつ
脱,ヌグ，ダツボウノダツ,ぬぐ，だつぼうのだつ
奪,ウバウ，リャクダツノダツ,うばう，りゃくだつのだつ
棚,タナオロシノタナ,たなおろしのたな
丹,タンネンナノタン,たんねんなのたん
担,タンニンノタン,たんにんのたん
単,タンジュンノタン,たんじゅんのたん
炭,セキタンノタン，スミ,せきたんのたん，すみ
胆,ダイタンナノタン,だいたんなのたん
探,タンケンノタン，サガス,たんけんのたん，さがす
淡,タンスイギョノタン，アワイ,たんすいぎょのたん，あわい
短,チョウタンノタン，ミジカイ,ちょうたんのたん，みじかい
嘆,ナゲク，タンガンスルノタン,なげく，たんがんするのたん
端,タンマツノタン，ハシ,たんまつのたん，はし
誕,タンジョウビノタン,たんじょうびのたん
鍛,キタエル，タンレンノタン,きたえる，たんれんのたん
団,ダンタイコウドウノダン,だんたいこうどうのだん
男,オトコ，ダンシノダン,おとこ，だんしのだん
段,シュダンノダン,しゅだんのだん
断,ハンダンノダン,はんだんのだん
弾,ダンリョクノダン，ハズム,だんりょくのだん，はずむ
暖,ダンボウノダン，アタタカイ,だんぼうのだん，あたたかい
談,ジョウダンヲイウノダン,じょうだんをいうのだん
壇,ブツダンノダン,ぶつだんのだん
地,チキュウノチ,ちきゅうのち
池,チョスイチノチ，イケ,ちょすいちのち，いけ
知,チシキノチ，シル,ちしきのち，しる
値,ネダンノネ，アタイ,ねだんのね，あたい
恥,ハジヲカクノハジ,はじをかくのはじ
致,イッチスルノチ，イタス,いっちするのち，いたす
遅,オソイ，チコクノチ,おそい，ちこくのち
痴,グチノチ,ぐちのち
稚,ヨウチエンノチ,ようちえんのち
置,ソウチノチ，オク,そうちのち，おく
竹,タケ，ショウチクバイノチク,たけ，しょうちくばいのちく
畜,カチクノチク,かちくのちく
逐,チクジノチク,ちくじのちく
蓄,チョチクノチク,ちょちくのちく
築,ケンチクノチク，キズク,けんちくのちく，きずく
秩,チツジョノチツ,ちつじょのちつ
窒,チッソノチツ,ちっそのちつ
茶,チャイロノチャ,ちゃいろのちゃ
着,キモノノキ，チャク,きもののき，ちゃく
嫡,チャクナンノチャク,ちゃくなんのちゃく
中,チュウガクノチュウ，ナカ,ちゅうがくのちゅう，なか
仲,ナカマノナカ,なかまのなか
虫,ムシ，コンチュウノチュウ,むし，こんちゅうのちゅう
沖,オキ，オキナワケンノオキ,おき，おきなわけんのおき
宙,ウチュウセンノチュウ,うちゅうせんのちゅう
忠,チュウコクスルノチュウ,ちゅうこくするのちゅう
抽,チュウセンノチュウ,ちゅうせんのちゅう
注,チュウモクスルノチュウ，ソソグ,ちゅうもくするのちゅう，そそぐ
昼,ヒルヤスミノヒル，チュウ,ひるやすみのひる，ちゅう
柱,ハシラ，チュウ,はしら，ちゅう
衷,ワヨウセッチュウノチュウ,わようせっちゅうのちゅう
鋳,チュウゾウスルノチュウ，イル,ちゅうぞうするのちゅう，いる
駐,チュウシャジョウノチュウ,ちゅうしゃじょうのちゅう
著,チョシャノチョ，イチジルシイ,ちょしゃのちょ，いちじるしい
貯,チョキンノチョ，タクワエル,ちょきんのちょ，たくわえる
丁,イッチョウメノチョウ,いっちょうめのちょう
弔,トムラウ，チョウジノチョウ,とむらう，ちょうじのちょう
庁,キショウチョウノチョウ,きしょうちょうのちょう
兆,イッチョウエンノチョウ,いっちょうえんのちょう
町,マチ，シチョウソンノチョウ,まち，しちょうそんのちょう
長,ナガイ，チョウタンノチョウ,ながい，ちょうたんのちょう
挑,チョウセンスルノチョウ，イドム,ちょうせんするのちょう，いどむ
帳,レンラクチョウノチョウ,れんらくちょうのちょう
張,キンチョウスルノチョウ，ハル,きんちょうするのちょう，はる
彫,チョウコクカノチョウ，ホル,ちょうこくかのちょう，ほる
眺,ナガメル，チョウボウノチョウ,ながめる，ちょうぼうのちょう
釣,サカナツリノツリ,さかなつりのつり
頂,チョウテンノチョウ，イタダキ,ちょうてんのちょう，いただき
鳥,トリ，ヤチョウノチョウ,とり，やちょうのちょう
朝,アサヒノアサ，チョウ,あさひのあさ，ちょう
脹,ボウチョウスルノチョウ，ニクヅキニナガイ,ぼうちょうするのちょう，にくづきにながい
超,チョウノウリョクノチョウ，コエル,ちょうのうりょくのちょう，こえる
腸,ダイチョウ，ショウチョウノチョウ,だいちょう，しょうちょうのちょう
跳,チョウヤクスルノチョウ，トブ,ちょうやくするのちょう，とぶ
徴,トクチョウテキナノチョウ,とくちょうてきなのちょう
潮,マンチョウノチョウ，シオ,まんちょうのちょう，しお
澄,ミズガスムノスム,みずがすむのすむ
調,チョウサノチョウ，シラベル,ちょうさのちょう，しらべる
聴,チョウカクノチョウ，キク,ちょうかくのちょう，きく
懲,コラシメル，チョウバツノチョウ,こらしめる，ちょうばつのちょう
直,チョクセンノチョク，ナオル,ちょくせんのちょく，なおる
勅,チョクメイノチョク,ちょくめいのちょく
沈,チンボツスルノチン，シズム,ちんぼつするのちん，しずむ
珍,メズラシイ，チンミノチン,めずらしい，ちんみのちん
朕,チンオモウニノチン,ちんおもうにのちん
陳,チンレツスルノチン,ちんれつするのちん
賃,チンギンノチン,ちんぎんのちん
鎮,チンアツスルノチン，シズメル,ちんあつするのちん，しずめる
追,ツイセキスルノツイ，オウ,ついせきするのつい，おう
墜,ツイラクスルノツイ,ついらくするのつい
通,コウツウノツウ，トオル,こうつうのつう，とおる
痛,ズツウノツウ，イタイ,ずつうのつう，いたい
塚,ツカ，カイヅカノツカ,つか，かいづかのつか
漬,ツケモノノツケル,つけもののつける
坪,タテツボノツボ,たてつぼのつぼ
低,ヒクイ，テイ,ひくい，てい
呈,ゾウテイスルノテイ,ぞうていするのてい
廷,キュウテイブンガクノテイ,きゅうていぶんがくのてい
弟,アニオトオトノオトオト,あにおとおとのおとおと
定,ヨテイノテイ，サダメル,よていのてい，さだめる
底,ソコヂカラノソコ，テイ,そこぢからのそこ，てい
抵,テイコウスルノテイ,ていこうするのてい
邸,テイタクノテイ，ヤシキ,ていたくのてい，やしき
亭,テイシュノテイ,ていしゅのてい
貞,テイシュクノテイ,ていしゅくのてい
帝,テイオウノテイ，ミカド,ていおうのてい，みかど
訂,テイセイスルノテイ,ていせいするのてい
庭,テイエンノテイ，ニワ,ていえんのてい，にわ
逓,テイシンショウノテイ,ていしんしょうのてい
停,テイシャノテイ,ていしゃのてい
偵,テイサツスルノテイ,ていさつするのてい
堤,テイボウノテイ，ツツミ,ていぼうのてい，つつみ
提,テイアンノテイ,ていあんのてい
程,ニッテイノテイ，ホド,にっていのてい，ほど
艇,ヒコウテイノテイ,ひこうていのてい
締,テイケツスルノテイ，シメル,ていけつするのてい，しめる
泥,デイスイノデイ，ドロ,でいすいのでい，どろ
的,モクテキノテキ,もくてきのてき
笛,フエヲフクノフエ,ふえをふくのふえ
摘,テキハツスルノテキ，ツム,てきはつするのてき，つむ
滴,スイテキノテキ，シズク,すいてきのてき，しずく
適,テキトウノテキ,てきとうのてき
敵,テキミカタノテキ,てきみかたのてき
迭,コウテツスルノテツ,こうてつするのてつ
哲,テツガクノテツ,てつがくのてつ
鉄,テツドウノテツ,てつどうのてつ
徹,テツヤスルノテツ,てつやするのてつ
撤,テッタイスルノテツ,てったいするのてつ
天,テンキヨホウノテン,てんきよほうのてん
典,コクゴジテンノテン,こくごじてんのてん
店,ミセ，ショウテンノテン,みせ，しょうてんのてん
点,テンスウノテン,てんすうのてん
展,ハッテンノテン,はってんのてん
添,ソエル，テンプスルノテン,そえる，てんぷするのてん
転,ウンテンノテン，コロガス,うんてんのてん，ころがす
田,スイデンノデン，タ,すいでんのでん，た
伝,デンセツノデン，ツタエル,でんせつのでん，つたえる
殿,トノサマノトノ,とのさまのとの
電,デンワノデン,でんわのでん
斗,ホクトシチセイノト,ほくとしちせいのと
吐,トイキノト，ハク,といきのと，はく
徒,トホノト,とほのと
途,トチュウノト,とちゅうのと
都,トカイノト，ミヤコ,とかいのと，みやこ
渡,ハシヲワタルノワタル,はしをわたるのわたる
塗,トソウノト，ヌル,とそうのと，ぬる
土,ドヨウビノド，ツチ,どようびのど，つち
奴,ドレイノド，ヤツ,どれいのど，やつ
努,ドリョクノド,どりょくのど
度,オンドケイノド,おんどけいのど
怒,ゲキドスルノド，イカル,げきどするのど，いかる
刀,カタナ，ニホントウノトウ,かたな，にほんとうのとう
冬,フユヤスミノフユ，トウ,ふゆやすみのふゆ，とう
灯,ケイコウトウノトウ,けいこうとうのとう
当,トウバンノトウ，アタル,とうばんのとう，あたる
投,トウシュノトウ，ナゲル,とうしゅのとう，なげる
豆,トウフノトウ，マメ,とうふのとう，まめ
東,トウザイノトウ，ヒガシ,とうざいのとう，ひがし
到,トウチャクスルノトウ，イタル,とうちゃくするのとう，いたる
逃,ニゲル，トウボウスルノトウ,にげる，とうぼうするのとう
倒,トウサンスルノトウ，タオレル,とうさんするのとう，たおれる
凍,レイトウスルノトウ，コオル,れいとうするのとう，こおる
唐,ケントウシノトウ,けんとうしのとう
島,シマグニノシマ，トウ,しまぐにのしま，とう
桃,モモタロウノモモ,ももたろうのもも
討,トウロンスルノトウ,とうろんするのとう
透,トウメイナノトウ，スケル,とうめいなのとう，すける
党,ヨトウヤトウノトウ,よとうやとうのとう
悼,アイトウノトウ，イタム,あいとうのとう，いたむ
盗,トウナンノトウ，ヌスム,とうなんのとう，ぬすむ
陶,トウゲイカノトウ,とうげいかのとう
塔,ゴジュウノトウ,ごじゅうのとう
搭,トウジョウテツヅキノトウ,とうじょうてつづきのとう
棟,ビョウトウノトウ，ムネ,びょうとうのとう，むね
湯,ネットウノトウ，ユ,ねっとうのとう，ゆ
痘,テンネントウノトウ,てんねんとうのとう
登,トザンノト，ノボル,とざんのと，のぼる
答,コタエ，トウアンノトウ,こたえ，とうあんのとう
等,イットウショウノトウ，ヒトシイ,いっとうしょうのとう，ひとしい
筒,ツツ，スイトウノトウ,つつ，すいとうのとう
統,トウイツノトウ,とういつのとう
稲,イネ，イナサクノイナ,いね，いなさくのいな
踏,フム，ザットウノトウ,ふむ，ざっとうのとう
糖,ブドウトウノトウ,ぶどうとうのとう
頭,アタマ，ズツウノズ,あたま，ずつうのず
謄,コセキトウホンノトウ,こせきとうほんのとう
闘,トウギュウシノトウ，タタカウ,とうぎゅうしのとう，たたかう
騰,フットウスルノトウ,ふっとうするのとう
同,オナジ，ドウジノドウ,おなじ，どうじのどう
洞,ドウクツノドウ，ホラ,どうくつのどう，ほら
胴,ドウアゲノドウ,どうあげのどう
動,ドウブツノドウ，ウゴク,どうぶつのどう，うごく
堂,コッカイギジドウノドウ,こっかいぎじどうのどう
童,グリムドウワノドウ,ぐりむどうわのどう
道,ミチ，ドウロノドウ,みち，どうろのどう
働,ロウドウノドウ，ハタラク,ろうどうのどう，はたらく
銅,ドウメダルノドウ,どうめだるのどう
導,ユウドウノドウ，ミチビク,ゆうどうのどう，みちびく
峠,トウゲノチャヤノトウゲ,とうげのちゃやのとうげ
匿,トクメイノトク，カクス,とくめいのとく，かくす
特,トクベツノトク,とくべつのとく
得,トクイノトク，エル,とくいのとく，える
督,エイガカントクノトク,えいがかんとくのとく
徳,ドウトクノトク,どうとくのとく
篤,キトクジョウタイノトク,きとくじょうたいのとく
毒,ショウドクノドク,しょうどくのどく
独,ドクリツノドク,どくりつのどく
読,ヨム，ドクショノドク,よむ，どくしょのどく
凸,オウトツノトツ,おうとつのとつ
突,ショウトツスルノトツ，ツク,しょうとつするのとつ，つく
届,トドケル,とどける
屯,チュウトンスルノトン,ちゅうとんするのとん
豚,ブタ，トンジルノトン,ぶた，とんじるのとん
鈍,ドンカンナノドン，ニブイ,どんかんなのどん，にぶい
曇,クモリ，ドンテンノドン,くもり，どんてんのどん
内,コクナイノナイ，ウチ,こくないのない，うち
南,ナンボクノナン，ミナミ,なんぼくのなん，みなみ
軟,ジュウナンノナン，ヤワラカ,じゅうなんのなん，やわらか
難,コンナンノナン，ムズカシイ,こんなんのなん，むずかしい
二,カンスウジノニ,かんすうじのに
尼,アマデラノアマ，ニ,あまでらのあま，に
弐,ケイヤクショニツカウスウジノニ,けいやくしょにつかうすうじのに
肉,ギュウニクノニク,ぎゅうにくのにく
日,ニチヨウビノニチ，ヒ,にちようびのにち，ひ
入,ハイル，ニュウガクノニュウ,はいる，にゅうがくのにゅう
乳,ギュウニュウノニュウ，チチ,ぎゅうにゅうのにゅう，ちち
尿,トウニョウビョウノニョウ,とうにょうびょうのにょう
任,セキニンノニン,せきにんのにん
妊,ニンシンスルノニン,にんしんするのにん
忍,ニンジャノニン，シノブ,にんじゃのにん，しのぶ
認,カクニンノニン，ミトメル,かくにんのにん，みとめる
寧,テイネイノネイ,ていねいのねい
熱,ネツ，アツイ,ねつ，あつい
年,ガクネンノネン，トシ,がくねんのねん，とし
念,ザンネンノネン,ざんねんのねん
粘,ネバル，ネンドノネン,ねばる，ねんどのねん
燃,ネンリョウノネン，モエル,ねんりょうのねん，もえる
悩,ナヤム，クノウスルノノウ,なやむ，くのうするののう
納,ノウゼイノノウ，オサメル,のうぜいののう，おさめる
能,サイノウノノウ,さいのうののう
脳,ズノウノノウ,ずのうののう
農,ノウギョウノノウ,のうぎょうののう
濃,ノウタンノノウ，コイ,のうたんののう，こい
把,ハアクスルノハ,はあくするのは
波,ツナミノナミ，ハ,つなみのなみ，は
派,ハバツノハ,はばつのは
破,ハカイスルノハ，ヤブル,はかいするのは，やぶる
覇,セイハスルノハ,せいはするのは
馬,ウマ，バシャノバ,うま，ばしゃのば
婆,ロウバシンノバ,ろうばしんのば
拝,オガム，ハイケイノハイ,おがむ，はいけいのはい
杯,カンパイノハイ，サカズキ,かんぱいのはい，さかずき
背,セボネノセ,せぼねのせ
肺,ハイカツリョウノハイ,はいかつりょうのはい
俳,ハイクノハイ,はいくのはい
配,ハイタツノハイ，クバル,はいたつのはい，くばる
排,ハイジョスルノハイ,はいじょするのはい
敗,ハイボクノハイ，ヤブレル,はいぼくのはい，やぶれる
廃,ハイシスルノハイ，スタレル,はいしするのはい，すたれる
輩,センパイコウハイノハイ,せんぱいこうはいのはい
売,ショウバイノバイ，ウル,しょうばいのばい，うる
倍,バイリツノバイ,ばいりつのばい
梅,ウメボシノウメ,うめぼしのうめ
培,サイバイスルノバイ，ツチカウ,さいばいするのばい，つちかう
陪,バイシンインノバイ,ばいしんいんのばい
媒,バイカイスルノバイ,ばいかいするのばい
買,カウ，バイシュウノバイ,かう，ばいしゅうのばい
賠,バイショウキンノバイ,ばいしょうきんのばい
白,シロイ，ハクチョウノハク,しろい，はくちょうのはく
伯,ハクシャクノハク,はくしゃくのはく
拍,ハクシュスルノハク,はくしゅするのはく
泊,シュクハクスルノハク，トマル,しゅくはくするのはく，とまる
迫,ハクリョクノハク，セマル,はくりょくのはく，せまる
舶,ハクライヒンノハク,はくらいひんのはく
博,ハクブツカンノハク,はくぶつかんのはく
薄,ウスイ，ケイハクノハク,うすい，けいはくのはく
麦,ムギチャノムギ,むぎちゃのむぎ
漠,サハラサバクノバク,さはらさばくのばく
縛,シバル，ソクバクノバク,しばる，そくばくのばく
爆,バクハツスルノバク,ばくはつするのばく
箱,ハコニツメルノハコ,はこにつめるのはこ
畑,タハタノハタ，ハタケ,たはたのはた，はたけ
肌,ハダイロノハダ,はだいろのはだ
八,カンスウジノハチ,かんすうじのはち
鉢,ハチウエノハチ,はちうえのはち
発,ハツメイノハツ,はつめいのはつ
髪,カミノケノカミ，ハツ,かみのけのかみ，はつ
伐,バッサイスルノバツ,ばっさいするのばつ
抜,バツグンノバツ，ヌケル,ばつぐんのばつ，ぬける
罰,ツミトバツノバツ,つみとばつのばつ
閥,ハバツノバツ,はばつのばつ
反,ハンタイスルノハン,はんたいするのはん
半,ハンブンノハン，ナカバ,はんぶんのはん，なかば
犯,ハンザイノハン,はんざいのはん
帆,ハンセンノハ，ホバシラノホ,はんせんのは，ほばしらのほ
伴,ドウハンスルノハン，トモナウ,どうはんするのはん，ともなう
判,ハンダンノハン,はんだんのはん
坂,サカミチノサカ,さかみちのさか
板,コクバンノバン，イタ,こくばんのばん，いた
版,モクハンガノハン,もくはんがのはん
班,ハンチョウノハン,はんちょうのはん
畔,コハンノハン，ホトリ,こはんのはん，ほとり
般,イッパンテキノハン,いっぱんてきのはん
販,ハンバイスルノハン,はんばいするのはん
飯,ゴハンノハン，メシ,ごはんのはん，めし
搬,ハンニュウスルノハン,はんにゅうするのはん
煩,ボンノウノボン，ワズラワシイ,ぼんのうのぼん，わずらわしい
頒,ハンプスルノハン,はんぷするのはん
範,モハンノハン,もはんのはん
繁,ハンエイスルノハン，シゲル,はんえいするのはん，しげる
藩,ハイハンチケンノハン,はいはんちけんのはん
晩,バンゴハンノバン,ばんごはんのばん
番,バンゴウノバン,ばんごうのばん
蛮,ナンバンボウエキノバン,なんばんぼうえきのばん
盤,エンバンナゲノバン,えんばんなげのばん
比,ヒカクスルノヒ，クラベル,ひかくするのひ，くらべる
皮,カワヲムクノカワ，ヒ,かわをむくのかわ，ひ
妃,オウヒノヒ，キサキ,おうひのひ，きさき
否,ヒテイスルノヒ,ひていするのひ
批,ヒハンスルノヒ,ひはんするのひ
彼,ヒガンバナノヒ，カレ,ひがんばなのひ，かれ
披,ヒロウエンノヒ,ひろうえんのひ
肥,ヒマンノヒ，コエル,ひまんのひ，こえる
非,ヒジョウグチノヒ,ひじょうぐちのひ
卑,ヒレツナノヒ，イヤシイ,ひれつなのひ，いやしい
