配当学年,漢字,田町読み（新しい詳細読み）　カタカナ,田町読み（新しい詳細読み）　ひらがな
6,骨,ガイコツノコツ，ホネ,がいこつのこつ，ほね
6,困,コンナンノコン，コマル,こんなんのこん，こまる
6,砂,サトウノサ，スナ,さとうのさ，すな
6,座,ザセキノザ，スワル,ざせきのざ，すわる
6,済,キュウサイスルノサイ，スマス,きゅうさいするのさい，すます
6,裁,サイバンノサイ，サバク,さいばんのさい，さばく
6,策,サクリャクノサク,さくりゃくのさく
6,冊,イッサツニサツノサツ,いっさつにさつのさつ
6,蚕,ヨウサンノサン，カイコ,ようさんのさん，かいこ
6,至,シキュウノシ，イタル,しきゅうのし，いたる
6,私,シテツノシ，ワタシ,してつのし，わたし
6,姿,スガタ，シセイノシ,すがた，しせいのし
6,視,シリョクケンサノシ,しりょくけんさのし
6,詞,サクシサッキョクノシ,さくしさっきょくのし
6,誌,ザッシノシ,ざっしのし
6,磁,ジシャクノジ,じしゃくのじ
6,射,ハンシャノシャ,はんしゃのしゃ
6,捨,シシャゴニュウノシャ，ステル,ししゃごにゅうのしゃ，すてる
6,尺,シャクハチノシャク,しゃくはちのしゃく
6,若,ワカモノノワカ,わかもののわか
6,樹,ジュモクノジュ,じゅもくのじゅ
6,収,シュウニュウノシュウ，オサメル,しゅうにゅうのしゅう，おさめる
6,宗,シュウキョウカイカクノシュウ,しゅうきょうかいかくのしゅう
6,就,シュウショクノシュウ，ツク,しゅうしょくのしゅう，つく
6,衆,シュウギインノシュウ,しゅうぎいんのしゅう
6,従,ジュウジスルノジュウ，シタガウ,じゅうじするのじゅう，したがう
6,縦,タテヨコノタテ，ジュウ,たてよこのたて，じゅう
6,縮,タンシュクノシュク，チヂム,たんしゅくのしゅく，ちぢむ
6,熟,ジュクゴノジュク，ジュクスル,じゅくごのじゅく，じゅくする
6,純,ジュンスイノジュン,じゅんすいのじゅん
6,処,ショブンノショ,しょぶんのしょ
6,署,ショメイスルノショ,しょめいするのしょ
6,諸,ショクンノショ,しょくんのしょ
6,除,ジョガイノジョ，ノゾク,じょがいのじょ，のぞく
6,将,ショウグンノショウ,しょうぐんのしょう
6,傷,キズ，ジュウショウノショウ,きず，じゅうしょうのしょう
6,障,ショウガイブツノショウ,しょうがいぶつのしょう
6,城,ジョウカマチノジョウ，シロ,じょうかまちのじょう，しろ
6,蒸,ジョウキノジョウ，ムス,じょうきのじょう，むす
6,針,ホウシンノシン，ハリ,ほうしんのしん，はり
6,仁,ジンギノジン，ニオウノニ,じんぎのじん，におうのに
6,垂,スイチョクノスイ，タレル,すいちょくのすい，たれる
6,推,スイセンスルノスイ，オス,すいせんするのすい，おす
6,寸,スンポウノスン,すんぽうのすん
6,盛,オオモリノモリ，セイ,おおもりのもり，せい
6,聖,セイカリレーノセイ,せいかりれーのせい
6,誠,セイジツナノセイ，マコト,せいじつなのせい，まこと
6,宣,センデンノセン,せんでんのせん
6,専,センモンノセン,せんもんのせん
6,泉,オンセンノセン，イズミ,おんせんのせん，いずみ
6,洗,センタクモノノセン，アラウ,せんたくもののせん，あらう
6,染,センショクノセン，ソメル,せんしょくのせん，そめる
6,善,ゼンアクノゼン，ヨイ,ぜんあくのぜん，よい
6,奏,エンソウスルノソウ，カナデル,えんそうするのそう，かなでる
6,窓,マドグチノマド，ソウ,まどぐちのまど，そう
6,創,ソウリツスルノソウ,そうりつするのそう
6,装,フクソウノソウ,ふくそうのそう
6,層,コウソウビルノソウ,こうそうびるのそう
6,操,ソウジュウスルノソウ，アヤツル,そうじゅうするのそう，あやつる
6,蔵,レイゾウコノゾウ,れいぞうこのぞう
6,臓,シンゾウカンゾウノゾウ,しんぞうかんぞうのぞう
6,存,ソンザイスルノソン,そんざいするのそん
6,尊,ソンケイスルノソン，トウトブ,そんけいするのそん，とうとぶ
6,宅,ジュウタクノタク,じゅうたくのたく
6,担,タンニンノタン,たんにんのたん
6,探,タンケンノタン，サガス,たんけんのたん，さがす
6,誕,タンジョウビノタン,たんじょうびのたん
6,段,シュダンノダン,しゅだんのだん
6,暖,ダンボウノダン，アタタカイ,だんぼうのだん，あたたかい
6,値,ネダンノネ，アタイ,ねだんのね，あたい
6,宙,ウチュウセンノチュウ,うちゅうせんのちゅう
6,忠,チュウコクスルノチュウ,ちゅうこくするのちゅう
6,著,チョシャノチョ，イチジルシイ,ちょしゃのちょ，いちじるしい
6,庁,キショウチョウノチョウ,きしょうちょうのちょう
6,頂,チョウテンノチョウ，イタダキ,ちょうてんのちょう，いただき
6,潮,マンチョウノチョウ，シオ,まんちょうのちょう，しお
6,賃,チンギンノチン,ちんぎんのちん
6,痛,ズツウノツウ，イタイ,ずつうのつう，いたい
6,展,ハッテンノテン,はってんのてん
6,討,トウロンスルノトウ,とうろんするのとう
6,党,ヨトウヤトウノトウ,よとうやとうのとう
6,糖,ブドウトウノトウ,ぶどうとうのとう
6,届,トドケル,とどける
6,難,コンナンノナン，ムズカシイ,こんなんのなん，むずかしい
6,乳,ギュウニュウノニュウ，チチ,ぎゅうにゅうのにゅう，ちち
6,認,カクニンノニン，ミトメル,かくにんのにん，みとめる
6,納,ノウゼイノノウ，オサメル,のうぜいののう，おさめる
6,脳,ズノウノノウ,ずのうののう
6,派,ハバツノハ,はばつのは
6,拝,オガム，ハイケイノハイ,おがむ，はいけいのはい
6,背,セボネノセ,せぼねのせ
6,肺,ハイカツリョウノハイ,はいかつりょうのはい
6,俳,ハイクノハイ,はいくのはい
6,班,ハンチョウノハン,はんちょうのはん
6,晩,バンゴハンノバン,ばんごはんのばん
6,否,ヒテイスルノヒ,ひていするのひ
6,批,ヒハンスルノヒ,ひはんするのひ
6,秘,ヒミツノヒ,ひみつのひ
6,腹,ハラペコノハラ，フク,はらぺこのはら，ふく
6,奮,コウフンノフン，フルウ,こうふんのふん，ふるう
6,並,ナミキノナミ，ナラブ,なみきのなみ，ならぶ
6,陛,ヘイカノヘイ,へいかのへい
6,閉,ヘイテンノヘイ，トジル,へいてんのへい，とじる
6,片,カタオモイノカタ，ヘン,かたおもいのかた，へん
6,補,ホジョノホ，オギナウ,ほじょのほ，おぎなう
6,暮,オセイボノボ，クラス,おせいぼのぼ，くらす
6,宝,ホウセキノホウ，タカラ,ほうせきのほう，たから
6,訪,ホウモンスルノホウ，オトズレル,ほうもんするのほう，おとずれる
6,亡,ボウメイスルノボウ,ぼうめいするのぼう
6,忘,ボウネンカイノボウ，ワスレル,ぼうねんかいのぼう，わすれる
6,棒,テツボウノボウ,てつぼうのぼう
6,枚,マイスウノマイ,まいすうのまい
6,幕,ジマクノマク,じまくのまく
6,密,ヒミツノミツ,ひみつのみつ
6,盟,ドウメイスルノメイ,どうめいするのめい
6,模,モケイノモ,もけいのも
6,訳,ツウヤクノヤク，ワケ,つうやくのやく，わけ
6,郵,ユウビンノユウ,ゆうびんのゆう
6,優,ユウショウスルノユウ，ヤサシイ,ゆうしょうするのゆう，やさしい
6,幼,ヨウチエンノヨウ，オサナイ,ようちえんのよう，おさない
6,欲,ヨクボウノヨク，ホシイ,よくぼうのよく，ほしい
6,翌,ヨクジツノヨク,よくじつのよく
6,乱,コンランノラン，ミダレル,こんらんのらん，みだれる
6,卵,タマゴ,たまご
6,覧,ハクランカイノラン,はくらんかいのらん
6,裏,ウラオモテノウラ,うらおもてのうら
6,律,ホウリツノリツ,ほうりつのりつ
6,臨,リンジノリン,りんじのりん
6,朗,ロウドクノロウ,ろうどくのろう
6,論,ケツロンノロン,けつろんのろん
