漢字,詳細読み(カタカナ),詳細読み(漢字仮名交じり),音読み,,,,,訓読み,,,,,,,,
佻,ケイチョウフハクノチョウ,軽佻浮薄のチョウ,チョウ,,,,,かる（い）,かるがるしい,,,,,,,
佩,ハイヨウスルノハイ，オビル,佩用するのハイ，おびる,ハイ,,,,,おびだま,お（びる）,は（く）,,,,,,
佰,ハク，ニンベンニカンスウジノヒャク,ハク，人偏に漢数字の百,ハク,ヒャク,,,,おさ,,,,,,,,
侑,ユウ，ニンベンニユウメイジンノユウ,ユウ，人偏に有名人のユウ,ウ,ユウ,,,,すす（める）,むく（いる）,たす（ける）,ゆる（す）,,,,,
佯,ヨウ，ニンベンニドウブツノヒツジ,ヨウ，人偏に動物の羊,ヨウ,,,,,いつわ（る）,さまよ（う）,,,,,,,
來,ライネンノライ，クルノキュウジ,来年のライ，来るの旧字,,,,,,,,,,,,,,
侖,リン，シャリンノリンノツクリ,リン，車輪のリンの旁,ロン,リン,,,,おも（う）,つい（ずる）,,,,,,,
儘,ワガママノママ，ジン,我儘のママ，ジン,,,,,,,,,,,,,,
俔,ケン，ニンベンニケンブツスルノケン,ケン，人偏に見物するのケン,ケン,,,,,うかが（う）,しの（び）,,,,,,,
俟,シ，マツ，ニンベンニカタカナノムノシタニユミヤノヤ,シ，まつ，人偏に片仮名のムの下に弓矢のヤ,シ,,,,,ま（つ）,,,,,,,,
俎,マナイタ，ソジョウノソ,まないた，俎上のソ,ショ,ソ,,,,まないた,,,,,,,,
俘,トリコ，フリョノフ,とりこ，俘虜のフ,フ,,,,,とりこ,と（る）,,,,,,,
俛,ベン，ニンベンニメンキョノメン,ベン，人偏に免許のメン,ベン,メン,フ,,,ふ（せる）,,,,,,,,
俑,ヘイバヨウノヨウ,兵馬俑のヨウ,ヨウ,トウ,,,,ひとがた,いた（む）,,,,,,,
俚,リゲンノリ，ニンベンニサトガエリノサト,俚諺のリ，人偏に里帰りのサト,リ,,,,,いや（しい）,ひな,,,,,,,
俐,レイリノリ，ニンベンニケンリノリ,伶俐のリ，人偏に権利のリ,リ,,,,,かしこ（い）,さか（しい）,,,,,,,
俤,オモカゲ，ニンベンニオトウト,おもかげ，人偏に弟,,,,,,おもかげ,,,,,,,,
俥,クルマ，ニンベンニデンシャノシャ,くるま，人偏に電車のシャ,,,,,,くるま,,,,,,,,
倚,イ，ニンベンニキミョウナノキ,イ，人偏に奇妙なのキ,イ,キ,,,,よ（る）,たの（む）,,,,,,,
倨,キョゴウノキョ，ニンベンニジュウキョノキョ,キョゴウ，人偏に住居のキョ,キョ,,,,,おご（る）,,,,,,,,
倔,クツ，ニンベンニリクツノクツ,クツ，人偏に理屈のクツ,クツ,,,,,つよ（い）,,,,,,,,
倪,タンゲイノゲイ，ニンベンニヌラムノツクリ,端倪のゲイ，人偏に睨むの旁,ゲイ,,,,,かよわ（い）,ながしめ,きわ,,,,,,
倥,コウ，ニンベンニクウキノクウ,コウ，人偏に空気のクウ,コウ,,,,,おろ（か）,いそが（しい）,ぬか（る）,,,,,,
倅,セガレ，ニンベンニソツギョウノソツ,せがれ，人偏に卒業のソツ,サイ,ソツ,,,,たす（け）,にわ（か）,せがれ,,,,,,
伜,セガレノイタイジ，ニンベンニカンスウジノキュウトジュウ,倅の異体字，人偏に漢数字の九と十,,,,,,,,,,,,,,
俶,シュク，ニンベンニシュクジョノシュクノツクリ,シュク，人偏に淑女のシュクの旁,シュク,テキ,,,,よ（い）,はじ（める）,すぐ（れる）,,,,,,
倡,ショウ，ニンベンニガッショウキョクノショウノツクリ,ショウ，人偏に合唱曲のショウの旁,ショウ,,,,,わざおぎ,あそびめ,とな（える）,,,,,,
倩,セン，ニンベンニアオノキュウジタイ,セン，人偏に青の旧字体,セン,セイ,,,,うつく（しい）,むこ,やと（う）,つらつら,,,,,
倬,タク，ニンベンニタッキュウノタク,タク，人偏に卓球のタク,タク,,,,,おお（きい）,たか（い）,あき（らか）,,,,,,
俾,ヘイ，ニンベンニヒクツナノヒ,ヘイ，人偏に卑屈なのヒ,ヒ,ヘイ,,,,しもべ,たす（ける）,にら（む）,,,,,,
俯,ウツムク，フカンスルノフ,うつむく，俯瞰するのフ,フ,,,,,ふ（す）,ふ（せる）,うつむ（く）,うつぶ（す）,,,,,
們,モン，ニンベンニセンモンノモン,モン，人偏に専門のモン,モン,,,,,ともがら,,,,,,,,
倆,リョウ，ニンベンニリョウテノリョウノキュウジ,リョウ，人偏に両手のリョウの旧字,リョウ,,,,,うでまえ,,,,,,,,
偃,エン，ニンベンニエンテイノエン，セキノツクリ,エン，人偏に堰堤のエン，堰の旁,エン,,,,,ふ（す）,ふ（せる）,や（める）,せ（く）,おご（る）,,,,
假,カメンノカ，カリノキュウジ,仮面のカ，仮の旧字,,,,,,,,,,,,,,
會,カイシャノカイ，アウノキュウジ,会社のカイ，会うの旧字,,,,,,,,,,,,,,
偕,カイ，トモニ，ニンベンニミナサマノミナ,カイ，ともに，人偏に皆様のミナ,カイ,,,,,とも（に）,,,,,,,,
偐,ガン，ニンベンニヒコボシノヒコノキュウジ,ガン，人偏に彦星のヒコの旧字,ガン,ゲン,,,,にせ,にせもの,,,,,,,
偈,ゲ，ニンベンニカッショクノカツノツクリ,ゲ，人偏に褐色のカツの旁,ケツ,ケイ,ゲ,,,はや（い）,すこ（やか）,いこ（う）,,,,,,
做,サ，ニンベンニコキョウノコ,サ，人偏に故郷のコ,サク,サ,,,,な（す）,,,,,,,,
偖,シャ，ニンベンニカガクシャノシャノキュウジタイ,シャ，人偏に科学者のシャの旧字体,シャ,,,,,さて,,,,,,,,
偬,ソウ，ニンベンニネギノクサカンムリヲトッタモノ,ソウ，人偏に葱の草冠を取ったもの,ソウ,,,,,せわ（しい）,,,,,,,,
偸,トウ，ニンベンニユカイナノユノツクリ,トウ，人偏に愉快なの愉の旁,トウ,チュウ,,,,ぬす（む）,かりそめ,かろ（んずる）,うす（い）,,,,,
傀,カイライセイケンノカイ,傀儡政権のカイ,カイ,,,,,おお（きい）,くぐつ,でく,,,,,,
傚,コウ，ニンベンニコウカテキノコウノキュウジ,コウ，人偏に効果的のコウの旧字,コウ,,,,,なら（う）,まね（る）,,,,,,,
傅,フイクスルノフ，メノト,傅育するのフ，めのと,フ,,,,,もり,かしず（く）,つ（く）,し（く）,,,,,
傴,ウ，ニンベンニクベツスルノクノキュウジ,ウ，人偏に区別するのクの旧字,ウ,,,,,かが（む）,かわい（がる）,つつし（む）,,,,,,
傲,ゴウマンナノゴウ,傲慢なのゴウ,ゴウ,,,,,おご（る）,あなど（る）,あそ（ぶ）,,,,,,
僉,シケンヲウケルノケンノキュウジノツクリ,試験を受けるのケンの旧字の旁,セン,,,,,みな,,,,,,,,
僊,セン，ニンベンニサセンスルノセンノツクリ,セン，人偏に左遷するのセンの旁,セン,,,,,やまびと,せんにん,,,,,,,
傳,デンセツノデンノキュウジ,伝説のデンの旧字,,,,,,,,,,,,,,
僂,ロウ，ニンベンニロウカクノロウノキュウジノツクリ,ロウ，人偏に楼閣のロウの旧字の旁,ロウ,ル,,,,かが（める）,ま（げる）,,,,,,,
僖,キ，ニンベンニキゲキノキ，ヨロコブ,キ，人偏に喜劇のキ，喜ぶ,キ,,,,,よろこ（ぶ）,たの（しむ）,,,,,,,
僞,ギゾウノギ，ニセノキュウジ,偽造のギ，にせの旧字,,,,,,,,,,,,,,
僥,ギョウコウノギョウ，ニンベンニギョウシュンギョウノキュウジ,僥倖のギョウ，人偏に堯舜の堯の旧字,ギョウ,,,,,もと（める）,ねが（う）,,,,,,,
僭,センエツナガラノセン,僭越ながらのセン,セン,,,,,なぞら（える）,おご（る）,,,,,,,
僣,センエツナガラノセンノイタイジ,僭越ながらのセンの異体字,,,,,,,,,,,,,,
僮,ドウ，ニンベンニワラベ,ドウ，人偏にわらべ,トウ,ドウ,,,,わらべ,おろ（か）,しもべ,,,,,,
價,カチノカ，アタイノキュウジ,価値のカ，あたいの旧字,,,,,,,,,,,,,,
僵,キョウ，ニンベンニカシハラジングウノカシノツクリ,キョウ，人偏に橿原神宮のカシの旁,キョウ,,,,,こわ（ばる）,たお（れる）,,,,,,,
儉,ケンヤクスルノケンノキュウジ,倹約するのケンの旧字,,,,,,,,,,,,,,
儁,シュン，ニンベンニフルトリニユミ,シュン，人偏に隹に弓,シュン,,,,,すぐ（れる）,まさ（る）,,,,,,,
儂,ノウ，ニンベンニノウギョウノノウ,ノウ，人偏に農業のノウ,ドウ,ノウ,,,,わし,われ,,,,,,,
儖,ラン，ニンベンニカントクスルノカン,ラン，人偏に監督するのカン,,,,,,,,,,,,,,
儕,セイ，ニンベンニイッセイシャゲキノセイノキュウジ,セイ，人偏に一斉射撃のセイの旧字,サイ,セイ,,,,ともがら,,,,,,,,
儔,チュウ，ニンベンニコトブキノキュウジ,チュウ，人偏に寿の旧字,チュウ,ジュ,,,,ともがら,,,,,,,,
儚,ボウ，ニンベンニユメ，ハカナイ,ボウ，人偏に夢，はかない,ボウ,モウ,,,,くら（い）,はかな（い）,はかな（む）,,,,,,
儡,カイライセイケンノライ,傀儡政権のライ,ライ,,,,,つか（れる）,くぐつ,でく,,,,,,
儺,ダ，ニンベンニコンナンノナン,ダ，人偏に困難のナン,ナ,ダ,,,,おにやらい,,,,,,,,
儷,レイ，ニンベンニウルワシイ,レイ，人偏に麗しい,レイ,,,,,なら（ぶ）,つれあい,,,,,,,
儼,ゲン，ニンベンニゲンジュウナノゲン,ゲン，人偏に厳重なのゲン,ゲン,,,,,いかめ（しい）,おごそ（か）,,,,,,,
儻,トウ，ニンベンニヨトウヤトウノトウノキュウジ,トウ，人偏に与党野党のトウの旧字,トウ,,,,,すぐ（れる）,も（し）,ある（いは）,,,,,,
儿,ジン，ブシュノヒトアシ,ジン，部首のひとあし,,,,,,,,,,,,,,
兀,ゴツ，カンスウジノイチノシタニヒトアシ,ゴツ，漢数字の一の下にひとあし,コツ,ゴツ,,,,たか（い）,,,,,,,,
兒,ジドウセイトノジノキュウジ,児童生徒のジの旧字,,,,,,,,,,,,,,
兌,ダカンシヘイノダ,兌換紙幣のダ,ダ,タイ,エツ,エイ,,か（える）,とりか（える）,よろこ（ぶ）,するど（い）,,,,,
兔,ドウブツノウサギノイタイジ,動物の兔の異体字,,,,,,,,,,,,,,
兢,センセンキョウキョウノキョウ，コクフクスルノコクフタツ,戦線兢々のキョウ，克服するのコク二つ,キョウ,,,,,つつし（む）,おそ（れる）,,,,,,,
竸,キョウソウスルノキョウ，キソウノイタイジ,競争するのキョウ，競うの異体字,,,,,,,,,,,,,,
兩,リョウテノリョウノキュウジ,両手のリョウの旧字,,,,,,,,,,,,,,
兪,ユ，ニレノキノニレノツクリ,ユ，楡の木のニレの旁,ユ,,,,,しか（り）,,,,,,,,
兮,ケイ，カンスウジノハチノシタニゴウキュウスルノゴウノシタガワ,ケイ，漢数字の八の下に号泣するのゴウの下側,,,,,,,,,,,,,,
冀,キ，キタノシタニコトナル,キ，北の下に異なる,キ,,,,,こいねが（う）,,,,,,,,
冂,ケイ，ブシュノドウガマエ,ケイ，部首のどうがまえ,,,,,,,,,,,,,,
囘,マワル，カイテンノカイノイタイジ，ドウガマエニジュウニシノミ,回る，回転のカイの異体字，どうがまえに十二支の巳,,,,,,,,,,,,,,
